ExclusionID,Nom,Categorie,Description,PackImpacte
EX00001,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 5 des CG.,Eco
EX00002,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 1 des CG.,Tous
EX00003,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 14 des CG.,VIP
EX00004,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 2 des CG.,Silver
EX00005,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 15 des CG.,Gold
EX00006,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 38 des CG.,Business
EX00007,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 17 des CG.,Gold
EX00008,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 21 des CG.,Tous
EX00009,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 16 des CG.,Silver
EX00010,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 37 des CG.,Gold+
EX00011,Défaut de déclaration des conducteurs secondaires,Administratif,Le conducteur secondaire non déclaré entraîne la nullité de la garantie. Voir article 12 des CG.,Silver
EX00012,Utilisation du véhicule pour le transport de marchandises,Usage,Le transport de marchandises sans autorisation n'est pas couvert. Voir article 8 des CG.,Gold
EX00013,Dégâts causés par une négligence grave du conducteur,Conduite,La négligence grave comme l'oubli du frein à main n'est pas indemnisée. Voir article 19 des CG.,Eco
EX00014,Véhicule utilisé comme habitation ou dortoir,Usage,L'usage du véhicule comme lieu d'habitation est exclu des garanties. Voir article 27 des CG.,VIP
EX00015,Dommages liés à l'usure des pièces d'usure,Administratif,Les pièces d'usure comme les plaquettes ou les courroies ne sont pas couvertes. Voir article 33 des CG.,Bronze
EX00016,Accident survenu lors d'une manifestation sportive,Conduite,Les accidents survenus lors de courses ou rallyes ne sont pas pris en charge. Voir article 41 des CG.,Silver+
EX00017,Perte de valeur du véhicule après réparation,Administratif,La dépréciation du véhicule suite à une réparation n'est pas indemnisée. Voir article 9 des CG.,Gold
EX00018,Dommages causés par une guerre ou une émeute,Territorial,Les dommages liés à des événements politiques ou sociaux sont exclus. Voir article 44 des CG.,Business
EX00019,Frais de dépannage au-delà du forfait contractuel,Usage,Les frais de dépannage excessifs ne sont pas remboursés au-delà du plafond. Voir article 13 des CG.,Premium
EX00020,Dégâts causés par un animal non identifié,Sinistre,Les collisions avec un animal sans identification ne sont pas couvertes. Voir article 22 des CG.,Eco+
EX00021,Conduite sans permis valide au moment du sinistre,Administratif,Un permis périmé ou invalide entraîne l'exclusion de garantie. Voir article 18 des CG.,VIP
EX00022,Utilisation d'un véhicule non conforme aux normes,Technique,Un véhicule non conforme aux normes en vigueur n'est pas garanti. Voir article 35 des CG.,Silver+
EX00023,Dommages dus à un acte terroriste,Territorial,Les actes terroristes sont exclus des garanties standard. Voir article 26 des CG.,Gold+
EX00024,Panne mécanique non liée à un accident,Technique,Les pannes mécaniques sans accident ne sont pas couvertes. Voir article 7 des CG.,Bronze
EX00025,Dégâts causés par le manque d'huile ou de liquide,Technique,Le défaut d'entretien des fluides n'est pas indemnisé. Voir article 31 des CG.,Silver
EX00026,Responsabilité civile en cas de prêt du véhicule,Conduite,Le prêt du véhicule à une personne non déclarée peut exclure la garantie. Voir article 42 des CG.,Gold
EX00027,Véhicule utilisé pour une activité illégale,Usage,L'usage du véhicule pour des activités illégales est exclu. Voir article 15 des CG.,Eco+
EX00028,Dommages causés par des rongeurs ou parasites,Administratif,Les dégâts causés par des animaux nuisibles ne sont pas couverts. Voir article 28 des CG.,VIP
EX00029,Frais de recherche du véhicule volé,Administratif,Les frais de recherche en cas de vol ne sont pas pris en charge. Voir article 34 des CG.,Bronze
EX00030,Défaut de signalisation d'un sinistre dans les délais,Administratif,Le non-respect des délais de déclaration entraîne l'exclusion. Voir article 3 des CG.,Silver+
EX00031,Dommages aux pneumatiques sans autre dommage,Technique,Les dommages isolés aux pneus ne sont pas couverts. Voir article 25 des CG.,Gold
EX00032,Véhicule endommagé par l'usage de carburant inadapté,Technique,L'utilisation de carburant non recommandé est exclue. Voir article 39 des CG.,Business
EX00033,Dégâts causés par l'eau sans inondation déclarée,Sinistre,Les dégâts des eaux non liés à une inondation ne sont pas couverts. Voir article 11 des CG.,Eco
EX00034,Dommages causés par une explosion nucléaire,Territorial,Les explosions nucléaires sont exclues de toutes garanties. Voir article 45 des CG.,Tous
EX00035,Frais de mise en fourrière et de gardiennage,Administratif,Les frais de fourrière ne sont pas pris en charge. Voir article 20 des CG.,Gold+
EX00036,Défaut de plaques d'immatriculation réglementaires,Administratif,Un véhicule sans plaques conformes n'est pas couvert. Voir article 6 des CG.,VIP
EX00037,Dommages causés par un séisme,Territorial,Les séismes et tremblements de terre sont exclus des garanties. Voir article 29 des CG.,Silver+
EX00038,Conduite sans attestation d'assurance valide,Administratif,L'absence d'attestation lors du sinistre peut exclure la garantie. Voir article 38 des CG.,Bronze
EX00039,Dégâts liés à l'oxygénation ou à la corrosion,Technique,La corrosion naturelle n'est pas prise en charge. Voir article 16 des CG.,Gold
EX00040,Dommages causés par un acte de vandalisme non constaté,Sinistre,Le vandalisme non constaté sur le moment n'est pas couvert. Voir article 4 des CG.,Silver
EX00041,Frais de réparation dans un garage non agréé,Administratif,Les réparations hors réseau agréé ne sont pas remboursées. Voir article 32 des CG.,Business
EX00042,Véhicule utilisé comme engin de chantier,Usage,L'utilisation du véhicule pour des travaux est exclue. Voir article 10 des CG.,Premium
EX00043,Dommages causés par une grève ou un lock-out,Territorial,Les grèves et lock-outs sont exclus des garanties. Voir article 43 des CG.,Gold+
EX00044,Défaut de contrôle technique à jour,Administratif,Un contrôle technique périmé peut exclure la garantie. Voir article 37 des CG.,VIP
EX00045,Frais de dépannage en dehors du territoire national,Usage,Le dépannage à l'étranger sans extension n'est pas couvert. Voir article 14 des CG.,Eco+
EX00046,Dommages causés par une éruption volcanique,Territorial,Les éruptions volcaniques sont exclues des garanties. Voir article 30 des CG.,Silver
EX00047,Conduite avec un véhicule surchargé,Conduite,Le dépassement de la charge maximale exclut la garantie. Voir article 36 des CG.,Gold
EX00048,Dégâts causés par le gel du moteur,Technique,Le gel du moteur sans protection n'est pas couvert. Voir article 17 des CG.,Bronze
EX00049,Dommages causés par un incendie criminel,Sinistre,Les incendies d'origine criminelle sans preuve ne sont pas couverts. Voir article 24 des CG.,Silver+
EX00050,Frais d'assistance en cas de perte de clés,Administratif,La perte de clés n'est pas couverte par la garantie assistance. Voir article 45 des CG.,Gold
EX00051,Véhicule utilisé pour une course de rue,Usage,Les courses de rue sont exclues des garanties. Voir article 8 des CG.,Business
EX00052,Dommages causés par la foudre sur les composants électroniques,Technique,Les dégâts électroniques dus à la foudre sont exclus. Voir article 21 des CG.,VIP
EX00053,Défaut de déclaration du kilométrage réel,Administratif,Le kilométrage sous-estimé peut entraîner une exclusion. Voir article 27 des CG.,Gold+
EX00054,Frais de dépanneuse pour une panne mineure,Usage,Les pannes mineures ne sont pas prises en charge par l'assistance. Voir article 13 des CG.,Silver
EX00055,Dommages causés par une inondation en zone non couverte,Territorial,Les inondations en zones non couvertes sont exclues. Voir article 39 des CG.,Eco
EX00056,Conduite avec un véhicule en mauvais état technique,Conduite,Un véhicule en mauvais état peut exclure la garantie en cas de sinistre. Voir article 5 des CG.,Premium
EX00057,Dégâts causés par la neige ou le verglas sans équipement,Conduite,Le défaut d'équipement hiver en zone concernée exclut la garantie. Voir article 22 des CG.,Bronze
EX00058,Dommages causés par une avalanche,Territorial,Les avalanches sont exclues des garanties standards. Voir article 31 des CG.,Gold+
EX00059,Frais de rapatriement du véhicule à l'étranger,Usage,Le rapatriement du véhicule sans extension n'est pas couvert. Voir article 44 des CG.,VIP
EX00060,Véhicule utilisé comme taxi sans autorisation,Usage,Le transport de personnes sans autorisation est exclu. Voir article 12 des CG.,Silver+
EX00061,Dommages causés par un arrêt de circulation prolongé,Sinistre,Les dommages liés à un arrêt prolongé ne sont pas couverts. Voir article 28 des CG.,Gold
EX00062,Conduite avec un véhicule à l'essai,Administratif,La conduite d'un véhicule à l'essai peut être exclue. Voir article 33 des CG.,Business
EX00063,Dégâts causés par la chaleur excessive,Technique,La chaleur excessive non liée à un accident n'est pas couverte. Voir article 40 des CG.,Eco+
EX00064,Dommages causés par un acte de piraterie,Territorial,Les actes de piraterie sont exclus des garanties. Voir article 3 des CG.,Silver
EX00065,Frais de stationnement et de péage,Administratif,Les frais de stationnement et péage ne sont pas pris en charge. Voir article 9 des CG.,Gold+
EX00066,Défaut d'entretien du système de freinage,Technique,Le défaut d'entretien des freins peut exclure la garantie. Voir article 19 des CG.,VIP
EX00067,Véhicule utilisé pour des activités agricoles,Usage,L'usage agricole du véhicule est exclu. Voir article 25 des CG.,Bronze
EX00068,Dommages causés par une tempête en zone non couverte,Territorial,Les tempêtes en zones non couvertes sont exclues. Voir article 34 des CG.,Silver+
EX00069,Conduite avec des pneus non homologués,Conduite,Les pneus non homologués excluent la garantie. Voir article 6 des CG.,Gold
EX00070,Dégâts causés par un dégât des eaux non déclaré,Sinistre,Les dégâts des eaux non déclarés dans les délais sont exclus. Voir article 41 des CG.,Business
EX00071,Dommages causés par un acte de sabotage,Territorial,Les actes de sabotage sont exclus des garanties. Voir article 20 des CG.,Eco
EX00072,Frais de réparation de la carrosserie sans impact,Administratif,Les réparations esthétiques sans impact ne sont pas couvertes. Voir article 14 des CG.,Premium
EX00073,Défaut de déclaration des modifications techniques,Administratif,Les modifications techniques non déclarées excluent la garantie. Voir article 36 des CG.,Gold+
EX00074,Véhicule utilisé pour le transport de déchets,Usage,Le transport de déchets sans autorisation est exclu. Voir article 42 des CG.,VIP
EX00075,Dommages causés par un feu de brousse,Territorial,Les feux de brousse sont exclus des garanties. Voir article 10 des CG.,Silver
EX00076,Conduite avec un véhicule sans assurance valide,Administratif,Le défaut d'assurance au moment du sinistre exclut la garantie. Voir article 29 des CG.,Bronze
EX00077,Dégâts causés par une surchauffe du moteur,Technique,La surchauffe du moteur sans accident n'est pas couverte. Voir article 32 des CG.,Gold
EX00078,Dommages causés par un glissement de terrain,Territorial,Les glissements de terrain sont exclus des garanties. Voir article 11 des CG.,Silver+
EX00079,Frais de déplacement pour un sinistre hors zone,Usage,Les déplacements pour sinistres hors zone ne sont pas couverts. Voir article 23 des CG.,Business
EX00080,Défaut de signalisation d'un accident à la gendarmerie,Administratif,Le défaut de signalisation à la gendarmerie exclut la garantie. Voir article 43 des CG.,Eco+
EX00081,Véhicule utilisé pour des activités de loisirs extrêmes,Usage,Les activités de loisirs extrêmes sont exclues. Voir article 17 des CG.,VIP
EX00082,Dommages causés par la grêle sur des éléments non protégés,Sinistre,Les dommages dus à la grêle sans protection sont exclus. Voir article 35 des CG.,Gold
EX00083,Conduite avec un véhicule sans feux de signalisation,Conduite,Le défaut de feux de signalisation peut exclure la garantie. Voir article 9 des CG.,Silver
EX00084,Dégâts causés par un affaissement de terrain,Territorial,Les affaissements de terrain sont exclus des garanties. Voir article 27 des CG.,Bronze
EX00085,Frais d'immobilisation du véhicule après sinistre,Administratif,Les frais d'immobilisation ne sont pas pris en charge. Voir article 12 des CG.,Gold+
EX00086,Défaut d'entretien des courroies de distribution,Technique,Le défaut d'entretien des courroies peut exclure la garantie. Voir article 38 des CG.,VIP
EX00087,Véhicule utilisé pour les livraisons rapides,Usage,Les livraisons rapides sans autorisation sont exclues. Voir article 3 des CG.,Silver+
EX00088,Dommages causés par un typhon,Territorial,Les typhons sont exclus des garanties standards. Voir article 21 des CG.,Business
EX00089,Conduite avec un véhicule dont le CT est expiré,Administratif,Un contrôle technique expiré peut exclure la garantie. Voir article 16 des CG.,Gold
EX00090,Dégâts causés par une rupture de barrage,Sinistre,Les ruptures de barrage sont exclues des garanties. Voir article 39 des CG.,Eco
EX00091,Frais de réparation des sièges endommagés,Administratif,Les réparations des sièges sans accident ne sont pas couvertes. Voir article 2 des CG.,Premium
EX00092,Défaut de déclaration des options de sécurité,Administratif,Les options de sécurité non déclarées peuvent exclure la garantie. Voir article 45 des CG.,Gold+
EX00093,Véhicule utilisé pour le transport de matières radioactives,Usage,Le transport de matières radioactives est exclu. Voir article 7 des CG.,VIP
EX00094,Dommages causés par une vague de chaleur,Territorial,Les vagues de chaleur sont exclues des garanties. Voir article 30 des CG.,Silver
EX00095,Conduite avec un véhicule sans rétroviseurs,Conduite,Le défaut de rétroviseurs peut exclure la garantie. Voir article 18 des CG.,Bronze
EX00096,Dégâts causés par un effondrement de parking,Sinistre,Les effondrements de parking sont exclus des garanties. Voir article 25 des CG.,Gold
EX00097,Frais de mise en sécurité du véhicule,Administratif,Les frais de mise en sécurité ne sont pas pris en charge. Voir article 14 des CG.,Silver+
EX00098,Défaut d'entretien des amortisseurs,Technique,Le défaut d'entretien des amortisseurs peut exclure la garantie. Voir article 33 des CG.,Business
EX00099,Véhicule utilisé pour le transport d'animaux sauvages,Usage,Le transport d'animaux sauvages est exclu. Voir article 10 des CG.,Eco+
EX00100,Dommages causés par une tempête de sable,Territorial,Les tempêtes de sable sont exclues des garanties. Voir article 22 des CG.,VIP
EX00101,Conduite avec un véhicule dont les pneus sont lisses,Conduite,Les pneus lisses peuvent exclure la garantie. Voir article 31 des CG.,Gold
EX00102,Dégâts causés par un écroulement du toit,Sinistre,Les écroulements du toit sont exclus des garanties. Voir article 40 des CG.,Silver
EX00103,Frais de recherche de pièces de rechange,Administratif,Les frais de recherche de pièces ne sont pas pris en charge. Voir article 5 des CG.,Bronze
EX00104,Défaut de déclaration des accidents antérieurs,Administratif,Les accidents antérieurs non déclarés peuvent exclure la garantie. Voir article 29 des CG.,Gold+
EX00105,Véhicule utilisé pour le transport de corps,Usage,Le transport de corps est exclu. Voir article 11 des CG.,VIP
EX00106,Dommages causés par un raz-de-marée,Territorial,Les raz-de-marée sont exclus des garanties. Voir article 37 des CG.,Silver+
EX00107,Conduite avec un véhicule dont le pare-brise est endommagé,Conduite,Un pare-brise endommagé peut exclure la garantie. Voir article 4 des CG.,Business
EX00108,Dégâts causés par un dégagement de gaz,Sinistre,Les dégagements de gaz sont exclus des garanties. Voir article 42 des CG.,Gold
EX00109,Frais de réparation des vitres sans impact,Administratif,Les réparations de vitres sans impact ne sont pas couvertes. Voir article 26 des CG.,Eco
EX00110,Défaut d'entretien du système de refroidissement,Technique,Le défaut d'entretien du système de refroidissement peut exclure la garantie. Voir article 13 des CG.,Premium
EX00111,Véhicule utilisé pour les courses de dragsters,Usage,Les courses de dragsters sont exclues. Voir article 34 des CG.,Gold+
EX00112,Dommages causés par une éclipse ou phénomène spatial,Territorial,Les phénomènes spatiaux sont exclus des garanties. Voir article 19 des CG.,VIP
EX00113,Conduite avec un véhicule sans clignotants,Conduite,Le défaut de clignotants peut exclure la garantie. Voir article 24 des CG.,Silver
EX00114,Dégâts causés par une explosion de gaz,Sinistre,Les explosions de gaz sont exclues des garanties. Voir article 15 des CG.,Bronze
EX00115,Frais de réparation de la peinture,Sinistre,Les frais de réparation de la peinture sans impact ne sont pas couverts. Voir article 41 des CG.,Gold
EX00116,Défaut de déclaration des conducteurs occasionnels,Administratif,Les conducteurs occasionnels non déclarés peuvent exclure la garantie. Voir article 1 des CG.,Silver+
EX00117,Véhicule utilisé pour le transport de fonds,Usage,Le transport de fonds est exclu. Voir article 28 des CG.,Business
EX00118,Dommages causés par une invasion de sauterelles,Territorial,Les invasions de sauterelles sont exclues des garanties. Voir article 32 des CG.,Eco+
EX00119,Conduite avec un véhicule sans ceintures de sécurité,Conduite,Le défaut de ceintures de sécurité peut exclure la garantie. Voir article 36 des CG.,VIP
EX00120,Dégâts causés par un effondrement de pont,Sinistre,Les effondrements de pont sont exclus des garanties. Voir article 44 des CG.,Gold
EX00121,Frais de réparation de la direction,Administratif,Les frais de réparation de la direction sans accident ne sont pas couverts. Voir article 6 des CG.,Silver
EX00122,Défaut d'entretien du système d'embrayage,Technique,Le défaut d'entretien de l'embrayage peut exclure la garantie. Voir article 38 des CG.,Bronze
EX00123,Véhicule utilisé pour les compétitions de drift,Usage,Les compétitions de drift sont exclues. Voir article 9 des CG.,Gold+
EX00124,Dommages causés par un tremblement de terre,Territorial,Les tremblements de terre sont exclus des garanties. Voir article 21 des CG.,VIP
EX00125,Conduite avec un véhicule sans laissez-passer,Administratif,Le défaut de laissez-passer peut exclure la garantie. Voir article 26 des CG.,Silver+
EX00126,Dégâts causés par une fuite de carburant,Sinistre,Les fuites de carburant sont exclues des garanties. Voir article 43 des CG.,Business
EX00127,Frais de réparation des rétroviseurs,Sinistre,Les réparations de rétroviseurs sans accident ne sont pas couvertes. Voir article 3 des CG.,Gold
EX00128,Défaut de déclaration des options de confort,Administratif,Les options de confort non déclarées peuvent exclure la garantie. Voir article 39 des CG.,Eco
EX00129,Véhicule utilisé pour les rodéos,Usage,Les rodéos sont exclus des garanties. Voir article 20 des CG.,Premium
EX00130,Dommages causés par un cyclone,Territorial,Les cyclones sont exclus des garanties. Voir article 11 des CG.,Gold+
EX00131,Conduite avec un véhicule dont le pare-chocs est détérioré,Conduite,Un pare-chocs détérioré peut exclure la garantie. Voir article 30 des CG.,VIP
EX00132,Dégâts causés par un glissement de neige,Sinistre,Les glissements de neige sont exclus des garanties. Voir article 17 des CG.,Silver
EX00133,Frais de réparation du système de climatisation,Administratif,Les réparations de climatisation sans accident ne sont pas couvertes. Voir article 23 des CG.,Bronze
EX00134,Défaut d'entretien des cardans,Technique,Le défaut d'entretien des cardans peut exclure la garantie. Voir article 35 des CG.,Gold
EX00135,Véhicule utilisé pour les spectacles pyrotechniques,Usage,Les spectacles pyrotechniques sont exclus. Voir article 2 des CG.,Silver+
EX00136,Dommages causés par un orage de grêle,Territorial,Les orages de grêle sont exclus des garanties. Voir article 18 des CG.,Business
EX00137,Conduite avec un véhicule sans dispositif anti-brouillard,Conduite,Le défaut de dispositif anti-brouillard peut exclure la garantie. Voir article 29 des CG.,Eco+
EX00138,Dégâts causés par un affaissement de chaussée,Sinistre,Les affaissements de chaussée sont exclus des garanties. Voir article 33 des CG.,VIP
EX00139,Frais de réparation de la batterie,Administratif,Les réparations de batterie sans accident ne sont pas couvertes. Voir article 7 des CG.,Gold
EX00140,Défaut de déclaration des transformateurs,Administratif,Les transformateurs non déclarés peuvent exclure la garantie. Voir article 45 des CG.,Silver
EX00141,Véhicule utilisé pour les courses hippiques,Usage,Les courses hippiques sont exclues. Voir article 16 des CG.,Bronze
EX00142,Dommages causés par une tempête de neige,Territorial,Les tempêtes de neige sont exclues des garanties. Voir article 13 des CG.,Gold+
EX00143,Conduite avec un véhicule sans phares fonctionnels,Conduite,Le défaut de phares fonctionnels peut exclure la garantie. Voir article 14 des CG.,Silver