FAQID,Question,Categorie,Reponse,Tags,Priorite
FAQ00001,Quel est le délai de déclaration d'un sinistre ?,Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00001.","Délais,assurance auto,Maroc",4
FAQ00002,Comment fonctionne le bonus-malus ?,Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00002.","Bonus Malus,assurance auto,Maroc",1
FAQ00003,Puis-je assurer une voiture neuve ?,Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00003.","Souscription,assurance auto,Maroc",2
FAQ00004,Quelle franchise choisir ?,Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00004.,"Franchise,assurance auto,Maroc",3
FAQ00005,Comment résilier mon contrat ?,Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00005.,"Résiliation,assurance auto,Maroc",5
FAQ00006,Le vol est-il couvert ?,Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00006.","Garanties,assurance auto,Maroc",4
FAQ00007,Quels documents pour souscrire ?,Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00007.","Souscription,assurance auto,Maroc",1
FAQ00008,Puis-je payer mensuellement ?,Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00008.","Paiement,assurance auto,Maroc",3
FAQ00009,Comment contester un refus d'indemnisation ?,Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00009.,"Réclamations,assurance auto,Maroc",1
FAQ00010,Comment déclarer un sinistre ?,Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00010.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00011,Quelle est la durée de validité du relevé d'information ?,Documents,"Le relevé d'information est valable 3 mois à compter de sa date d'émission. Réf. FAQ-00011.","Documents,assurance auto,Maroc",2
FAQ00012,Que faire en cas de sinistre avec un tiers ?,Sinistre,"Échangez vos coordonnées, remplissez un constat et contactez votre assureur sous 5 jours. Réf. FAQ-00012.","Sinistre,assurance auto,Maroc",1
FAQ00013,Comment se calcule l'indemnisation d'un véhicule volé ?,Indemnisation,"L'indemnisation est basée sur la valeur Argus du véhicule au moment du vol, déduction faite de la franchise. Réf. FAQ-00013.","Indemnisation,assurance auto,Maroc",4
FAQ00014,Qu'est-ce que le coefficient de réduction-majoration ?,Bonus Malus,"Le CRM, anciennement bonus-malus, est un coefficient qui évolue chaque année selon votre sinistralité. Réf. FAQ-00014.","Bonus Malus,assurance auto,Maroc",2
FAQ00015,Puis-je assurer un véhicule de collection ?,Souscription,"Oui, nous proposons une formule spécifique pour les véhicules de collection avec une expertise préalable. Réf. FAQ-00015.","Souscription,assurance auto,Maroc",3
FAQ00016,Quels sont les délais de paiement de l'indemnisation ?,Indemnisation,"L'indemnisation est versée sous 30 jours maximum après accord sur le montant. Réf. FAQ-00016.","Indemnisation,assurance auto,Maroc",5
FAQ00017,Comment fonctionne l'assistance en cas de panne ?,Assistance,"L'assistance vous permet de bénéficier d'un dépannage, d'un véhicule de remplacement et d'une aide au rapatriement. Réf. FAQ-00017.","Assistance,assurance auto,Maroc",2
FAQ00018,Quels sont les exclusions de garantie principales ?,Garanties,"Les exclusions principales sont : la conduite sous influence, les courses, l'usure normale et les dommages intentionnels. Réf. FAQ-00018.","Garanties,assurance auto,Maroc",4
FAQ00019,Comment modifier mon contrat en cours d'année ?,Souscription,"Contactez votre conseiller ou effectuez la modification via votre espace client. Un avenant sera émis. Réf. FAQ-00019.","Souscription,assurance auto,Maroc",1
FAQ00020,Quelle est la différence entre Tous Risques et Responsabilité Civile ?,Garanties,"La RC couvre les dommages aux tiers, tandis que Tous Risques couvre également votre véhicule. Réf. FAQ-00020.","Garanties,assurance auto,Maroc",3
FAQ00021,Que faire si mon véhicule est endommagé par une catastrophe naturelle ?,Sinistre,"Déclarez le sinistre dans les 5 jours et fournissez les justificatifs de l'événement climatique. Réf. FAQ-00021.","Sinistre,assurance auto,Maroc",5
FAQ00022,Comment bénéficier d'une réduction pour conduite sécurisée ?,Bonus,"Installez un boîtier connecté qui analyse votre conduite. Une réduction peut être appliquée. Réf. FAQ-00022.","Bonus,assurance auto,Maroc",2
FAQ00023,Puis-je résilier mon contrat à tout moment ?,Résiliation,"Oui, après 1 an de contrat, vous pouvez résilier à tout moment sans frais (loi Hamon). Réf. FAQ-00023.","Résiliation,assurance auto,Maroc",4
FAQ00024,Comment déclarer un sinistre à l'étranger ?,Sinistre,"Appelez le numéro d'assistance international et suivez les instructions de votre assureur. Réf. FAQ-00024.","Sinistre,assurance auto,Maroc",3
FAQ00025,Qu'est-ce que la garantie valeur à neuf ?,Garanties,"La valeur à neuf permet de remplacer votre véhicule sans décote pendant les 12 à 24 premiers mois. Réf. FAQ-00025.","Garanties,assurance auto,Maroc",1
FAQ00026,Comment calculer ma prime d'assurance ?,Paiement,"La prime dépend de votre véhicule, de votre âge, de votre lieu de résidence et de votre historique. Réf. FAQ-00026.","Paiement,assurance auto,Maroc",2
FAQ00027,Que faire en cas de blessures après un accident ?,Sinistre,"Consultez un médecin, gardez les certificats médicaux et informez votre assureur. Réf. FAQ-00027.","Sinistre,assurance auto,Maroc",5
FAQ00028,Quels sont les avantages de l'application mobile ?,Services,"L'application permet de déclarer un sinistre, suivre vos dossiers et contacter votre conseiller. Réf. FAQ-00028.","Services,assurance auto,Maroc",3
FAQ00029,Comment contester le montant de l'indemnisation ?,Réclamations,"Adressez une contestation écrite au service réclamations avec les justificatifs nécessaires. Réf. FAQ-00029.","Réclamations,assurance auto,Maroc",4
FAQ00030,Puis-je assurer plusieurs véhicules au même contrat ?,Souscription,"Oui, la formule multi-véhicules permet de regrouper plusieurs véhicules sur un seul contrat. Réf. FAQ-00030.","Souscription,assurance auto,Maroc",1
FAQ00031,Qu'est-ce que la franchise relative ?,Franchise,"La franchise relative s'applique uniquement lorsque le montant des dommages dépasse un certain seuil. Réf. FAQ-00031.","Franchise,assurance auto,Maroc",2
FAQ00032,Comment fonctionne le rapatriement du véhicule ?,Assistance,"L'assistance prend en charge le rapatriement du véhicule vers votre domicile ou un garage agréé. Réf. FAQ-00032.","Assistance,assurance auto,Maroc",3
FAQ00033,Quels documents pour une déclaration de vol ?,Documents,"Copie du dépôt de plainte, des clés du véhicule, la carte grise et le certificat d'assurance. Réf. FAQ-00033.","Documents,assurance auto,Maroc",5
FAQ00034,Comment se passe l'expertise après un sinistre ?,Sinistre,"Un expert mandaté par l'assureur évalue les dommages et propose un montant d'indemnisation. Réf. FAQ-00034.","Sinistre,assurance auto,Maroc",4
FAQ00035,Puis-je modifier ma formule en cours de contrat ?,Souscription,"Oui, vous pouvez changer de formule à chaque échéance annuelle ou en cas de changement de situation. Réf. FAQ-00035.","Souscription,assurance auto,Maroc",2
FAQ00036,Qu'est-ce que le coefficient de référence ?,Bonus,"Le coefficient de référence est celui appliqué la première année, fixé à 1.00 pour tout nouveau contrat. Réf. FAQ-00036.","Bonus,assurance auto,Maroc",1
FAQ00037,Comment signaler un retard de livraison de mon véhicule ?,Services,"Contactez votre conseiller qui vous orientera vers le service dédié aux litiges de livraison. Réf. FAQ-00037.","Services,assurance auto,Maroc",3
FAQ00038,Quels sont les risques en cas de non-déclaration d'un sinistre ?,Délais,"La non-déclaration dans les délais peut entraîner une réduction de l'indemnisation ou un refus de garantie. Réf. FAQ-00038.","Délais,assurance auto,Maroc",5
FAQ00039,Comment fonctionne le remboursement du véhicule de remplacement ?,Assistance,"Le véhicule de remplacement est pris en charge pendant la durée des réparations, dans la limite du contrat. Réf. FAQ-00039.","Assistance,assurance auto,Maroc",2
FAQ00040,Puis-je résilier mon contrat si je vends ma voiture ?,Résiliation,"Oui, la vente du véhicule entraîne la résiliation automatique du contrat d'assurance. Réf. FAQ-00040.","Résiliation,assurance auto,Maroc",4
FAQ00041,Quelles sont les sanctions en cas de conducteur non déclaré ?,Garanties,"L'assureur peut réduire l'indemnisation ou refuser la garantie en cas de conducteur non déclaré. Réf. FAQ-00041.","Garanties,assurance auto,Maroc",3
FAQ00042,Comment obtenir un duplicata de mon attestation ?,Documents,"Connectez-vous à votre espace client pour télécharger une nouvelle attestation à tout moment. Réf. FAQ-00042.","Documents,assurance auto,Maroc",1
FAQ00043,Qu'est-ce que l'assurance au kilomètre ?,Souscription,"L'assurance au kilomètre est une formule où la prime varie en fonction du nombre de kilomètres parcourus. Réf. FAQ-00043.","Souscription,assurance auto,Maroc",2
FAQ00044,Comment fonctionne la garantie bris de glace ?,Garanties,"La garantie bris de glace couvre le remplacement du pare-brise, des vitres latérales et de la lunette arrière. Réf. FAQ-00044.","Garanties,assurance auto,Maroc",5
FAQ00045,Quels sont les délais pour contester un sinistre ?,Délais,"Vous disposez de 30 jours à compter de la notification de la décision d'indemnisation. Réf. FAQ-00045.","Délais,assurance auto,Maroc",3
FAQ00046,Comment contacter le service réclamations ?,Réclamations,"Par téléphone au 0522-XX-XX-XX ou par courrier à l'adresse du siège social. Réf. FAQ-00046.","Réclamations,assurance auto,Maroc",4
FAQ00047,Puis-je résilier mon contrat par email ?,Résiliation,"Oui, vous pouvez envoyer votre demande de résiliation par email avec accusé de réception. Réf. FAQ-00047.","Résiliation,assurance auto,Maroc",2
FAQ00048,Qu'est-ce que l'attestation d'assurance ?,Documents,"L'attestation d'assurance est un document officiel prouvant que vous êtes assuré, à conserver dans le véhicule. Réf. FAQ-00048.","Documents,assurance auto,Maroc",1
FAQ00049,Comment fonctionne le tiers payant ?,Paiement,"Le tiers payant permet de ne pas avancer les frais de santé en cas d'accident corporel. Réf. FAQ-00049.","Paiement,assurance auto,Maroc",3
FAQ00050,Quelles sont les garanties incluses dans le pack Eco ?,Garanties,"Le pack Eco inclut la responsabilité civile et les garanties de base comme le vol et l'incendie. Réf. FAQ-00050.","Garanties,assurance auto,Maroc",5
FAQ00051,Comment est calculé le montant de ma franchise ?,Franchise,"La franchise est un montant fixé dans le contrat, exprimé en euros ou en pourcentage des dommages. Réf. FAQ-00051.","Franchise,assurance auto,Maroc",2
FAQ00052,Que faire si mon véhicule est déclaré irréparable ?,Sinistre,"L'assureur vous indemnise sur la base de la valeur vénale du véhicule avant le sinistre. Réf. FAQ-00052.","Sinistre,assurance auto,Maroc",4
FAQ00053,Puis-je bénéficier d'une réduction pour les bons conducteurs ?,Bonus,"Oui, les conducteurs sans sinistre pendant plusieurs années peuvent bénéficier de réductions. Réf. FAQ-00053.","Bonus,assurance auto,Maroc",1
FAQ00054,Comment fonctionne l'assurance des accessoires ?,Garanties,"Les accessoires sont couverts sur déclaration préalable et dans la limite du montant déclaré. Réf. FAQ-00054.","Garanties,assurance auto,Maroc",3
FAQ00055,Quels sont les justificatifs pour un sinistre de vol ?,Documents,"Le récépissé de plainte, les factures d'achat, la carte grise et les clés du véhicule. Réf. FAQ-00055.","Documents,assurance auto,Maroc",5
FAQ00056,Comment est fixé le montant de ma prime ?,Paiement,"La prime est déterminée en fonction de plusieurs critères : véhicule, conducteur, usage, région. Réf. FAQ-00056.","Paiement,assurance auto,Maroc",2
FAQ00057,Qu'est-ce que la garantie catastrophes naturelles ?,Garanties,"La garantie catastrophes naturelles couvre les dommages causés par des événements climatiques exceptionnels. Réf. FAQ-00057.","Garanties,assurance auto,Maroc",4
FAQ00058,Comment déclarer une modification de mon véhicule ?,Souscription,"Déclarez toute modification technique ou esthétique via votre espace client ou auprès de votre conseiller. Réf. FAQ-00058.","Souscription,assurance auto,Maroc",3
FAQ00059,Quels sont les délais pour un sinistre corporel ?,Sinistre,"Les délais sont plus longs pour les sinistres corporels, pouvant aller jusqu'à plusieurs mois. Réf. FAQ-00059.","Sinistre,assurance auto,Maroc",1
FAQ00060,Comment fonctionne le remboursement des frais de dépannage ?,Assistance,"Les frais de dépannage sont pris en charge dans la limite du plafond prévu au contrat. Réf. FAQ-00060.","Assistance,assurance auto,Maroc",5
FAQ00061,Puis-je assurer une voiture de société ?,Souscription,"Oui, nous proposons des formules spécifiques pour les véhicules de société et les flottes. Réf. FAQ-00061.","Souscription,assurance auto,Maroc",2
FAQ00062,Comment obtenir un relevé d'information ?,Documents,"Le relevé d'information est disponible dans votre espace client ou sur demande à votre conseiller. Réf. FAQ-00062.","Documents,assurance auto,Maroc",3
FAQ00063,Qu'est-ce que la garantie protection du conducteur ?,Garanties,"La garantie protection du conducteur couvre les dommages corporels du conducteur en cas d'accident. Réf. FAQ-00063.","Garanties,assurance auto,Maroc",4
FAQ00064,Comment fonctionne le malus en cas de sinistre ?,Bonus,"Le malus est une majoration de 25% par sinistre responsable, avec un maximum de 3.50. Réf. FAQ-00064.","Bonus,assurance auto,Maroc",5
FAQ00065,Quels sont les modes de paiement acceptés ?,Paiement,"Nous acceptons le prélèvement automatique, la carte bancaire et le virement bancaire. Réf. FAQ-00065.","Paiement,assurance auto,Maroc",1
FAQ00066,Comment est calculée la valeur vénale d'un véhicule ?,Indemnisation,"La valeur vénale est basée sur la cote Argus, l'état du véhicule et son kilométrage. Réf. FAQ-00066.","Indemnisation,assurance auto,Maroc",2
FAQ00067,Que faire si je perds mes documents d'assurance ?,Documents,"Contactez votre assureur pour obtenir un duplicata ou téléchargez une copie depuis votre espace client. Réf. FAQ-00067.","Documents,assurance auto,Maroc",3
FAQ00068,Quelle est la différence entre bonus et coefficient ?,Bonus,"Le bonus est la réduction, le coefficient est le chiffre qui évolue entre 0.50 et 3.50. Réf. FAQ-00068.","Bonus,assurance auto,Maroc",4
FAQ00069,Comment fonctionne la garantie incendie ?,Garanties,"La garantie incendie couvre les dommages causés par le feu, l'explosion ou la foudre. Réf. FAQ-00069.","Garanties,assurance auto,Maroc",5
FAQ00070,Puis-je modifier mon adresse en cours de contrat ?,Souscription,"Oui, toute modification d'adresse doit être déclarée car elle peut influencer votre prime. Réf. FAQ-00070.","Souscription,assurance auto,Maroc",1
FAQ00071,Quels sont les délais pour une expertise ?,Sinistre,"L'expertise est généralement réalisée dans un délai de 15 jours à compter de la déclaration. Réf. FAQ-00071.","Sinistre,assurance auto,Maroc",2
FAQ00072,Comment fonctionne le forfait kilométrique ?,Souscription,"Le forfait kilométrique est un plafond annuel que vous ne devez pas dépasser pour bénéficier du tarif. Réf. FAQ-00072.","Souscription,assurance auto,Maroc",3
FAQ00073,Qu'est-ce que la garantie catastrophes technologiques ?,Garanties,"Les catastrophes technologiques sont rares, mais certains contrats peuvent les exclure. Vérifiez votre contrat. Réf. FAQ-00073.","Garanties,assurance auto,Maroc",4
FAQ00074,Comment se passe une résiliation pour sinistre ?,Résiliation,"L'assureur peut résilier le contrat après plusieurs sinistres responsables, avec préavis de 2 mois. Réf. FAQ-00074.","Résiliation,assurance auto,Maroc",5
FAQ00075,Quels sont les avantages de l'espace client ?,Services,"L'espace client permet de suivre vos contrats, déclarer un sinistre et télécharger vos documents. Réf. FAQ-00075.","Services,assurance auto,Maroc",1
FAQ00076,Comment est calculée la prime pour un jeune conducteur ?,Paiement,"La prime des jeunes conducteurs est majorée en raison du risque plus élevé pendant les 3 premières années. Réf. FAQ-00076.","Paiement,assurance auto,Maroc",2
FAQ00077,Que faire en cas d'opposition sur ma prime ?,Réclamations,"Adressez une réclamation écrite au service dédié, avec les justificatifs de votre situation. Réf. FAQ-00077.","Réclamations,assurance auto,Maroc",3
FAQ00078,Comment fonctionne la garantie des équipements sportifs ?,Garanties,"Les équipements sportifs transportés dans le véhicule sont couverts dans la limite du montant déclaré. Réf. FAQ-00078.","Garanties,assurance auto,Maroc",4
FAQ00079,Puis-je suspendre mon contrat en cas de non-utilisation ?,Souscription,"Oui, vous pouvez suspendre temporairement votre contrat en cas de non-utilisation prolongée. Réf. FAQ-00079.","Souscription,assurance auto,Maroc",5
FAQ00080,Comment sont pris en charge les frais de justice ?,Garanties,"La protection juridique prend en charge les frais de justice dans la limite du plafond contractuel. Réf. FAQ-00080.","Garanties,assurance auto,Maroc",1
FAQ00081,Quels sont les critères pour être considéré comme jeune conducteur ?,Souscription,"Un jeune conducteur est une personne ayant moins de 3 ans de permis de conduire. Réf. FAQ-00081.","Souscription,assurance auto,Maroc",2
FAQ00082,Comment déclarer un dégât des eaux lié à la voiture ?,Sinistre,"Si votre véhicule est endommagé par une inondation, déclarez le sinistre avec photos et constat. Réf. FAQ-00082.","Sinistre,assurance auto,Maroc",3
FAQ00083,Qu'est-ce que la garantie panne mécanique ?,Garanties,"La garantie panne mécanique couvre les réparations en cas de panne liée au moteur ou à la transmission. Réf. FAQ-00083.","Garanties,assurance auto,Maroc",4
FAQ00084,Comment fonctionne le véhicule de courtoisie ?,Assistance,"Le véhicule de courtoisie est mis à disposition pendant les réparations de votre véhicule assuré. Réf. FAQ-00084.","Assistance,assurance auto,Maroc",5
FAQ00085,Quels documents pour une déclaration de sinistre ?,Documents,"Le constat amiable, les photos, les devis et les coordonnées des témoins. Réf. FAQ-00085.","Documents,assurance auto,Maroc",1
FAQ00086,Comment est déterminé le montant de la franchise ?,Franchise,"La franchise est fixée lors de la souscription, elle peut être modifiée à chaque échéance. Réf. FAQ-00086.","Franchise,assurance auto,Maroc",2
FAQ00087,Que faire si je suis victime d'un délit de fuite ?,Sinistre,"Déposez plainte immédiatement et contactez votre assureur dans les 24 heures. Réf. FAQ-00087.","Sinistre,assurance auto,Maroc",3
FAQ00088,Comment fonctionne le remboursement des frais de santé ?,Paiement,"Les frais de santé sont remboursés sur présentation des factures et certificats médicaux. Réf. FAQ-00088.","Paiement,assurance auto,Maroc",4
FAQ00089,Qu'est-ce que la garantie tous risques ?,Garanties,"La garantie tous risques couvre tous les dommages, même ceux dont vous êtes responsable. Réf. FAQ-00089.","Garanties,assurance auto,Maroc",5
FAQ00090,Puis-je changer d'assureur en cours de contrat ?,Résiliation,"Oui, après 1 an, vous pouvez changer d'assureur à tout moment sans pénalité. Réf. FAQ-00090.","Résiliation,assurance auto,Maroc",1
FAQ00091,Comment fonctionne le prélèvement automatique ?,Paiement,"Le prélèvement automatique est effectué chaque mois à date fixe sur votre compte bancaire. Réf. FAQ-00091.","Paiement,assurance auto,Maroc",2
FAQ00092,Quels sont les plafonds de garantie ?,Garanties,"Les plafonds de garantie sont indiqués dans votre contrat et varient selon les formules. Réf. FAQ-00092.","Garanties,assurance auto,Maroc",3
FAQ00093,Comment déclarer un sinistre par téléphone ?,Sinistre,"Appelez le 0522-XX-XX-XX pour un sinistre en cours ou dans les 5 jours suivants. Réf. FAQ-00093.","Sinistre,assurance auto,Maroc",4
FAQ00094,Qu'est-ce que la valeur à neuf garantie ?,Garanties,"La valeur à neuf garantie remplace votre véhicule sans décote pendant les 12 premiers mois. Réf. FAQ-00094.","Garanties,assurance auto,Maroc",5
FAQ00095,Comment obtenir un devis en ligne ?,Souscription,"Rendez-vous sur notre site internet, remplissez le formulaire et recevez votre devis sous 24h. Réf. FAQ-00095.","Souscription,assurance auto,Maroc",1
FAQ00096,Quelles sont les garanties pour les loueurs ?,Garanties,"Les loueurs bénéficient de garanties spécifiques pour les véhicules de location. Réf. FAQ-00096.","Garanties,assurance auto,Maroc",2
FAQ00097,Comment fonctionne l'assistance juridique ?,Assistance,"L'assistance juridique vous conseille et vous défend en cas de litige lié à votre véhicule. Réf. FAQ-00097.","Assistance,assurance auto,Maroc",3
FAQ00098,Quels sont les justificatifs pour un sinistre incendie ?,Documents,"Le rapport des pompiers, les photos des dégâts et le certificat de destruction du véhicule. Réf. FAQ-00098.","Documents,assurance auto,Maroc",4
FAQ00099,Comment est calculée la majoration en cas de sinistre ?,Bonus,"La majoration est de 25% par sinistre responsable, elle s'applique pendant 2 ans. Réf. FAQ-00099.","Bonus,assurance auto,Maroc",5
FAQ00100,Puis-je assurer une moto ou un scooter ?,Souscription,"Oui, nous proposons des formules adaptées pour les deux-roues motorisés. Réf. FAQ-00100.","Souscription,assurance auto,Maroc",1
FAQ00101,Comment fonctionne la garantie des effets personnels ?,Garanties,"Les effets personnels sont couverts en cas de vol dans le véhicule, dans la limite déclarée. Réf. FAQ-00101.","Garanties,assurance auto,Maroc",2
FAQ00102,Qu'est-ce que le délai de carence ?,Délais,"Le délai de carence est la période pendant laquelle certaines garanties ne sont pas encore actives. Réf. FAQ-00102.","Délais,assurance auto,Maroc",3
FAQ00103,Comment contester une décision d'indemnisation ?,Réclamations,"Adressez un courrier recommandé au service réclamations dans les 30 jours suivant la décision. Réf. FAQ-00103.","Réclamations,assurance auto,Maroc",4
FAQ00104,Quels sont les critères pour le bonus ?,Bonus,"Le bonus est accordé en l'absence de sinistre responsable pendant 12 mois consécutifs. Réf. FAQ-00104.","Bonus,assurance auto,Maroc",5
FAQ00105,Comment se passe l'arrêt de l'assurance ?,Résiliation,"L'assurance s'arrête à la date d'échéance ou sur demande de résiliation motivée. Réf. FAQ-00105.","Résiliation,assurance auto,Maroc",1
FAQ00106,Que faire si mon véhicule est endommagé pendant un déménagement ?,Sinistre,"Déclarez le sinistre et fournissez les preuves du déménagement (facture, témoins). Réf. FAQ-00106.","Sinistre,assurance auto,Maroc",2
FAQ00107,Comment fonctionne la garantie des pneus ?,Garanties,"Les pneus sont couverts en cas de dommage accidentel, hors usure normale. Réf. FAQ-00107.","Garanties,assurance auto,Maroc",3
FAQ00108,Quels sont les frais de gestion ?,Paiement,"Les frais de gestion sont inclus dans votre prime, ils sont de 2 à 5% selon la formule. Réf. FAQ-00108.","Paiement,assurance auto,Maroc",4
FAQ00109,Comment déclarer un sinistre en ligne ?,Sinistre,"Connectez-vous à votre espace client, cliquez sur Déclarer un sinistre et suivez le guide. Réf. FAQ-00109.","Sinistre,assurance auto,Maroc",5
FAQ00110,Qu'est-ce que la garantie du conducteur ?,Garanties,"La garantie du conducteur prend en charge les dommages corporels du conducteur en cas d'accident. Réf. FAQ-00110.","Garanties,assurance auto,Maroc",1
FAQ00111,Puis-je ajouter un conducteur secondaire ?,Souscription,"Oui, vous pouvez ajouter un conducteur secondaire à tout moment moyennant une majoration. Réf. FAQ-00111.","Souscription,assurance auto,Maroc",2
FAQ00112,Comment est calculé le remboursement des réparations ?,Indemnisation,"Le remboursement est basé sur le devis du garagiste agréé, déduction faite de la franchise. Réf. FAQ-00112.","Indemnisation,assurance auto,Maroc",3
FAQ00113,Quels sont les délais de réponse du service réclamations ?,Réclamations,"Le service réclamations répond dans un délai maximum de 30 jours. Réf. FAQ-00113.","Réclamations,assurance auto,Maroc",4
FAQ00114,Comment fonctionne le stationnement garanti ?,Garanties,"Le stationnement garanti protège votre véhicule en cas de dommages causés par d'autres véhicules. Réf. FAQ-00114.","Garanties,assurance auto,Maroc",5
FAQ00115,Quelle est la durée de validité d'un devis d'assurance ?,Souscription,"Un devis d'assurance est valable 30 jours à compter de sa date d'émission. Réf. FAQ-00115.","Souscription,assurance auto,Maroc",1
FAQ00116,Comment se passe la récupération d'un véhicule volé ?,Sinistre,"Si votre véhicule est retrouvé, il sera expertisé avant de décider de sa réparation ou de son remplacement. Réf. FAQ-00116.","Sinistre,assurance auto,Maroc",2
FAQ00117,Qu'est-ce que la garantie contre les actes de vandalisme ?,Garanties,"La garantie vandalisme couvre les dégradations volontaires causées à votre véhicule. Réf. FAQ-00117.","Garanties,assurance auto,Maroc",3
FAQ00118,Quels sont les modes de contact du service client ?,Services,"Vous pouvez joindre le service client par téléphone, email ou chat en ligne. Réf. FAQ-00118.","Services,assurance auto,Maroc",4
FAQ00119,Comment se déroule l'expertise en cas de sinistre ?,Sinistre,"Un expert se déplace pour évaluer les dommages et rédiger un rapport d'expertise. Réf. FAQ-00119.","Sinistre,assurance auto,Maroc",5
FAQ00120,Puis-je inclure un conducteur occasionnel ?,Souscription,"Oui, les conducteurs occasionnels doivent être déclarés et leur taux de majoration est moindre. Réf. FAQ-00120.","Souscription,assurance auto,Maroc",1