GarantieID,Nom,Pack,Plafond,Franchise,Description,Active
GA00001,Dommages corporels du conducteur jusqu'à 500 000 MAD,VIP,200000,2000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00002,Bris de glace sans franchise limité à 2 sinistres/an,Eco,500000,2000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00003,Assistance 0 km 24h/24 au Maroc et en Europe,Bronze,999999,3000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00004,Véhicule de remplacement 7 jours en cas d'accident,Silver+,500000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00005,Protection juridique jusqu'à 15 000 MAD,Gold+,200000,1500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00006,Catastrophes naturelles et technologiques,Gold+,200000,1000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00007,Dommages tous accidents avec franchise modulable,Gold+,999999,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00008,Incendie et explosion du véhicule,Bronze,50000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00009,Vol avec effraction et agression,Premium,100000,500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00010,Responsabilité civile illimitée en dommages corporels,Gold+,999999,0,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00011,Couverture des dommages causés par les catastrophes climatiques,Eco,150000,2500,Couverture des dommages causés par les catastrophes climatiques. Applicable selon conditions générales CG-2026.,True
GA00012,Protection contre le vol des accessoires et équipements,Silver,75000,1500,Protection contre le vol des accessoires et équipements. Applicable selon conditions générales CG-2026.,True
GA00013,Remboursement des frais de dépannage jusqu'à 2000 MAD,Gold,200000,500,Remboursement des frais de dépannage jusqu'à 2000 MAD. Applicable selon conditions générales CG-2026.,True
GA00014,Garantie des dommages électriques et électroniques,Business,100000,1000,Garantie des dommages électriques et électroniques. Applicable selon conditions générales CG-2026.,True
GA00015,Couverture en cas de vandalisme et dégradations,VIP,300000,2000,Couverture en cas de vandalisme et dégradations. Applicable selon conditions générales CG-2026.,True
GA00016,Protection juridique pour litiges de circulation,Eco+,50000,500,Protection juridique pour litiges de circulation. Applicable selon conditions générales CG-2026.,True
GA00017,Assistance rapatriement du véhicule en panne,Silver,250000,1000,Assistance rapatriement du véhicule en panne. Applicable selon conditions générales CG-2026.,True
GA00018,Garantie des dommages causés par le gel du moteur,Bronze,80000,1500,Garantie des dommages causés par le gel du moteur. Applicable selon conditions générales CG-2026.,True
GA00019,Couverture des frais de réparation des pare-brise,Gold,120000,0,Couverture des frais de réparation des pare-brise. Applicable selon conditions générales CG-2026.,True
GA00020,Protection contre les dommages causés par les rongeurs,Premium,40000,500,Protection contre les dommages causés par les rongeurs. Applicable selon conditions générales CG-2026.,True
GA00021,Garantie des dommages esthétiques et carrosserie,VIP,180000,1500,Garantie des dommages esthétiques et carrosserie. Applicable selon conditions générales CG-2026.,True
GA00022,Couverture en cas de sinistre à l'étranger,Silver+,200000,2000,Couverture en cas de sinistre à l'étranger. Applicable selon conditions générales CG-2026.,True
GA00023,Assistance psychologique après un accident,Eco,30000,0,Assistance psychologique après un accident. Applicable selon conditions générales CG-2026.,True
GA00024,Protection contre les dommages causés par la grêle,Gold,150000,1000,Protection contre les dommages causés par la grêle. Applicable selon conditions générales CG-2026.,True
GA00025,Garantie des dommages causés par une explosion,Business,100000,2000,Garantie des dommages causés par une explosion. Applicable selon conditions générales CG-2026.,True
GA00026,Couverture des frais de mise en fourrière,Bronze,20000,500,Couverture des frais de mise en fourrière. Applicable selon conditions générales CG-2026.,True
GA00027,Protection contre les dommages causés par les animaux,VIP,60000,1500,Protection contre les dommages causés par les animaux. Applicable selon conditions générales CG-2026.,True
GA00028,Garantie des dommages causés par le feu de brousse,Silver,50000,1000,Garantie des dommages causés par le feu de brousse. Applicable selon conditions générales CG-2026.,True
GA00029,Couverture en cas de sinistre sur autoroute,Eco+,80000,500,Couverture en cas de sinistre sur autoroute. Applicable selon conditions générales CG-2026.,True
GA00030,Assistance administrative en cas de perte de documents,Gold,15000,0,Assistance administrative en cas de perte de documents. Applicable selon conditions générales CG-2026.,True
GA00031,Protection des équipements audio et vidéo,Premium,25000,1000,Protection des équipements audio et vidéo. Applicable selon conditions générales CG-2026.,True
GA00032,Garantie des dommages causés par les intempéries,Bronze,70000,2000,Garantie des dommages causés par les intempéries. Applicable selon conditions générales CG-2026.,True
GA00033,Couverture des frais de réparation des jantes,VIP,40000,500,Couverture des frais de réparation des jantes. Applicable selon conditions générales CG-2026.,True
GA00034,Protection contre les dommages causés par le sel en hiver,Silver+,30000,1500,Protection contre les dommages causés par le sel en hiver. Applicable selon conditions générales CG-2026.,True
GA00035,Garantie des dommages causés par un affaissement de terrain,Eco,100000,1000,Garantie des dommages causés par un affaissement de terrain. Applicable selon conditions générales CG-2026.,True
GA00036,Couverture des frais d'expertise après sinistre,Gold,50000,0,Couverture des frais d'expertise après sinistre. Applicable selon conditions générales CG-2026.,True
GA00037,Assistance pour les longs voyages à l'étranger,Business,200000,2000,Assistance pour les longs voyages à l'étranger. Applicable selon conditions générales CG-2026.,True
GA00038,Protection contre les dommages causés par la chaleur excessive,Bronze,30000,1000,Protection contre les dommages causés par la chaleur excessive. Applicable selon conditions générales CG-2026.,True
GA00039,Garantie des dommages causés par la foudre sur l'électronique,Premium,80000,1500,Garantie des dommages causés par la foudre sur l'électronique. Applicable selon conditions générales CG-2026.,True
GA00040,Couverture des frais de réparation des rétroviseurs,VIP,20000,500,Couverture des frais de réparation des rétroviseurs. Applicable selon conditions générales CG-2026.,True
GA00041,Protection contre les dommages causés par le vandalisme,Silver,150000,2000,Protection contre les dommages causés par le vandalisme. Applicable selon conditions générales CG-2026.,True
GA00042,Garantie des dommages causés par un accident de la route,Eco+,50000,1000,Garantie des dommages causés par un accident de la route. Applicable selon conditions générales CG-2026.,True
GA00043,Couverture des frais de location de véhicule de remplacement,Gold,100000,500,Couverture des frais de location de véhicule de remplacement. Applicable selon conditions générales CG-2026.,True
GA00044,Assistance en cas de crevaison ou de panne de pneu,Business,20000,0,Assistance en cas de crevaison ou de panne de pneu. Applicable selon conditions générales CG-2026.,True
GA00045,Protection des biens transportés dans le véhicule,Bronze,50000,1500,Protection des biens transportés dans le véhicule. Applicable selon conditions générales CG-2026.,True
GA00046,Garantie des dommages causés par la neige et le verglas,VIP,40000,1000,Garantie des dommages causés par la neige et le verglas. Applicable selon conditions générales CG-2026.,True
GA00047,Couverture des frais de réparation du tableau de bord,Silver,30000,2000,Couverture des frais de réparation du tableau de bord. Applicable selon conditions générales CG-2026.,True
GA00048,Protection contre les dommages causés par les inondations,Eco,120000,500,Protection contre les dommages causés par les inondations. Applicable selon conditions générales CG-2026.,True
GA00049,Garantie des dommages causés par un acte de terrorisme,Gold,200000,1000,Garantie des dommages causés par un acte de terrorisme. Applicable selon conditions générales CG-2026.,True
GA00050,Couverture des frais de dépannage sans franchise,Premium,50000,0,Couverture des frais de dépannage sans franchise. Applicable selon conditions générales CG-2026.,True
GA00051,Assistance rapatriement en cas de maladie ou accident,VIP,100000,2000,Assistance rapatriement en cas de maladie ou accident. Applicable selon conditions générales CG-2026.,True
GA00052,Protection des vitres et des glaces latérales,Silver+,60000,1500,Protection des vitres et des glaces latérales. Applicable selon conditions générales CG-2026.,True
GA00053,Garantie des dommages causés par la grêle sur le toit,Eco,20000,1000,Garantie des dommages causés par la grêle sur le toit. Applicable selon conditions générales CG-2026.,True
GA00054,Couverture des frais de réparation de la carrosserie,Bronze,80000,500,Couverture des frais de réparation de la carrosserie. Applicable selon conditions générales CG-2026.,True
GA00055,Protection contre les dommages causés par les collisions,Gold,150000,2000,Protection contre les dommages causés par les collisions. Applicable selon conditions générales CG-2026.,True
GA00056,Garantie des dommages causés par une chute d'objet,Business,40000,1000,Garantie des dommages causés par une chute d'objet. Applicable selon conditions générales CG-2026.,True
GA00057,Couverture des frais de réparation des phares,VIP,25000,500,Couverture des frais de réparation des phares. Applicable selon conditions générales CG-2026.,True
GA00058,Assistance médicale après un sinistre,Silver,30000,0,Assistance médicale après un sinistre. Applicable selon conditions générales CG-2026.,True
GA00059,Protection contre les dommages causés par les tempêtes,Eco+,100000,1500,Protection contre les dommages causés par les tempêtes. Applicable selon conditions générales CG-2026.,True
GA00060,Garantie des dommages causés par les inondations souterraines,Gold,50000,2000,Garantie des dommages causés par les inondations souterraines. Applicable selon conditions générales CG-2026.,True
GA00061,Couverture des frais de réparation de la suspension,Bronze,40000,1000,Couverture des frais de réparation de la suspension. Applicable selon conditions générales CG-2026.,True
GA00062,Protection contre les dommages causés par les insectes,Premium,20000,500,Protection contre les dommages causés par les insectes. Applicable selon conditions générales CG-2026.,True
GA00063,Garantie des dommages causés par les travaux publics,VIP,60000,1500,Garantie des dommages causés par les travaux publics. Applicable selon conditions générales CG-2026.,True
GA00064,Couverture des frais de réparation du moteur,Silver,120000,2000,Couverture des frais de réparation du moteur. Applicable selon conditions générales CG-2026.,True
GA00065,Assistance en cas de perte de clés,Eco,15000,0,Assistance en cas de perte de clés. Applicable selon conditions générales CG-2026.,True
GA00066,Protection contre les dommages causés par les glissements de terrain,Gold,80000,1000,Protection contre les dommages causés par les glissements de terrain. Applicable selon conditions générales CG-2026.,True
GA00067,Garantie des dommages causés par les fuites de liquide,Business,30000,1500,Garantie des dommages causés par les fuites de liquide. Applicable selon conditions générales CG-2026.,True
GA00068,Couverture des frais de réparation des glaces,Bronze,25000,500,Couverture des frais de réparation des glaces. Applicable selon conditions générales CG-2026.,True
GA00069,Protection contre les dommages causés par les chocs,Premium,100000,2000,Protection contre les dommages causés par les chocs. Applicable selon conditions générales CG-2026.,True
GA00070,Garantie des dommages causés par les explosions de gaz,VIP,50000,1000,Garantie des dommages causés par les explosions de gaz. Applicable selon conditions générales CG-2026.,True
GA00071,Couverture des frais de réparation des clignotants,Silver+,20000,500,Couverture des frais de réparation des clignotants. Applicable selon conditions générales CG-2026.,True
GA00072,Assistance pour les véhicules électriques,Eco,60000,1500,Assistance pour les véhicules électriques. Applicable selon conditions générales CG-2026.,True
GA00073,Protection contre les dommages causés par les arbres,Gold,40000,0,Protection contre les dommages causés par les arbres. Applicable selon conditions générales CG-2026.,True
GA00074,Garantie des dommages causés par les pannes de batterie,Bronze,30000,1000,Garantie des dommages causés par les pannes de batterie. Applicable selon conditions générales CG-2026.,True
GA00075,Couverture des frais de réparation de la direction,VIP,50000,2000,Couverture des frais de réparation de la direction. Applicable selon conditions générales CG-2026.,True
GA00076,Protection contre les dommages causés par les accidents de la route,Silver,150000,1500,Protection contre les dommages causés par les accidents de la route. Applicable selon conditions générales CG-2026.,True
GA00077,Garantie des dommages causés par les crevaisons,Eco+,20000,500,Garantie des dommages causés par les crevaisons. Applicable selon conditions générales CG-2026.,True
GA00078,Couverture des frais de réparation des freins,Gold,30000,1000,Couverture des frais de réparation des freins. Applicable selon conditions générales CG-2026.,True
GA00079,Assistance en cas de panne de carburant,Business,15000,0,Assistance en cas de panne de carburant. Applicable selon conditions générales CG-2026.,True
GA00080,Protection contre les dommages causés par les chenilles,Bronze,40000,1500,Protection contre les dommages causés par les chenilles. Applicable selon conditions générales CG-2026.,True
GA00081,Garantie des dommages causés par les mouvements de terrain,VIP,80000,2000,Garantie des dommages causés par les mouvements de terrain. Applicable selon conditions générales CG-2026.,True
GA00082,Couverture des frais de réparation de la boîte de vitesses,Silver,100000,1000,Couverture des frais de réparation de la boîte de vitesses. Applicable selon conditions générales CG-2026.,True
GA00083,Protection contre les dommages causés par les fissures,Eco,20000,500,Protection contre les dommages causés par les fissures. Applicable selon conditions générales CG-2026.,True
GA00084,Garantie des dommages causés par les écoulements d'eau,Gold,50000,1500,Garantie des dommages causés par les écoulements d'eau. Applicable selon conditions générales CG-2026.,True
GA00085,Couverture des frais de réparation des sièges,Premium,25000,0,Couverture des frais de réparation des sièges. Applicable selon conditions générales CG-2026.,True
GA00086,Assistance en cas de sinistre corporel,VIP,100000,1000,Assistance en cas de sinistre corporel. Applicable selon conditions générales CG-2026.,True
GA00087,Protection contre les dommages causés par les accidents de stationnement,Bronze,30000,500,Protection contre les dommages causés par les accidents de stationnement. Applicable selon conditions générales CG-2026.,True
GA00088,Garantie des dommages causés par les chocs thermiques,Silver+,40000,2000,Garantie des dommages causés par les chocs thermiques. Applicable selon conditions générales CG-2026.,True
GA00089,Couverture des frais de réparation du toit ouvrant,Eco,20000,1000,Couverture des frais de réparation du toit ouvrant. Applicable selon conditions générales CG-2026.,True
GA00090,Protection contre les dommages causés par les intempéries,Business,60000,1500,Protection contre les dommages causés par les intempéries. Applicable selon conditions générales CG-2026.,True
GA00091,Garantie des dommages causés par les accidents domestiques,Gold,50000,0,Garantie des dommages causés par les accidents domestiques. Applicable selon conditions générales CG-2026.,True
GA00092,Couverture des frais de réparation de l'habitacle,VIP,30000,500,Couverture des frais de réparation de l'habitacle. Applicable selon conditions générales CG-2026.,True
GA00093,Assistance en cas de défaillance technique,Silver,40000,1000,Assistance en cas de défaillance technique. Applicable selon conditions générales CG-2026.,True
GA00094,Protection contre les dommages causés par les matières dangereuses,Premium,80000,2000,Protection contre les dommages causés par les matières dangereuses. Applicable selon conditions générales CG-2026.,True
GA00095,Garantie des dommages causés par les explosions,Bronze,60000,1500,Garantie des dommages causés par les explosions. Applicable selon conditions générales CG-2026.,True
GA00096,Couverture des frais de réparation du système de navigation,Eco+,30000,500,Couverture des frais de réparation du système de navigation. Applicable selon conditions générales CG-2026.,True
GA00097,Protection contre les dommages causés par les glissements de roches,Gold,70000,1000,Protection contre les dommages causés par les glissements de roches. Applicable selon conditions générales CG-2026.,True
GA00098,Garantie des dommages causés par les fuites d'air,Business,20000,0,Garantie des dommages causés par les fuites d'air. Applicable selon conditions générales CG-2026.,True
GA00099,Couverture des frais de réparation des feux arrière,VIP,15000,500,Couverture des frais de réparation des feux arrière. Applicable selon conditions générales CG-2026.,True
GA00100,Assistance en cas de pépins mécaniques,Silver+,50000,1500,Assistance en cas de pépins mécaniques. Applicable selon conditions générales CG-2026.,True