VehicleID,ClientID,Marque,Modele,Version,Annee,Categorie,Carburant,Transmission,PuissanceDIN,PuissanceCV,ValeurNeuve,ValeurActuelle,NombrePlaces,Poids,Cylindree,Couleur,NombrePortes,VIN,Immatriculation,Etat
VH000001,CL000001,Ford,Fiesta,Fiesta Iconic,2017,Citadine,Hybride,Manuelle,85,5,218400,125142.06,5,1080,998,Blanc,5,WF0E92278879CBE83,79849|BN|6,Usé
VH000002,CL000002,Volkswagen,Polo,Polo Iconic,2022,Citadine,Diesel,Manuelle,95,5,225000,161188.42,5,1100,999,Vert,5,WVW846FAAEAFAEE1E,23562|YS|4,Bon
VH000003,CL000003,Volkswagen,Golf,Golf Active,2013,Compacte,Essence,Manuelle,110,6,315000,140920.01,5,1280,999,Beige,5,WVW6944D4FB5E8BAA,00003-C-7,Usé
VH000004,CL000004,Ford,Fiesta,Fiesta Intens,2014,Citadine,Hybride,Manuelle,85,5,218400,103941.0,5,1080,998,Blanc,5,WF0DC3EE8DAB7C1FE,99999|WX|1,Correct
VH000005,CL000005,Nissan,Qashqai,Qashqai GT Line,2018,SUV,Hybride,Manuelle,140,7,364000,221883.09,5,1380,1332,Vert,5,JN1EBE1BED572AB52,73568|UF|3,Bon
VH000006,CL000006,Ford,Focus,Focus Active,2023,Compacte,Diesel,Manuelle,125,6,275000,187404.8,5,1320,1499,Blanc,5,WF042814108E6CF53,00006-H-1,Bon
VH000007,CL000007,Mercedes-Benz,Classe C,Classe C Intens,2024,Berline,Diesel,Automatique,156,9,565000,437536.0,5,1480,1496,Gris,4,WDDDB0461580C716D,96928|HT|5,Bon
VH000008,CL000008,Ford,Fiesta,Fiesta Business,2025,Citadine,Diesel,Manuelle,85,5,195000,171600.0,5,1080,998,Blanc,5,WF0ACB3C4F1EF144F,42857|ZN|9,Usé
VH000009,CL000009,Kia,Sportage,Sportage Business,2015,SUV,Hybride,Manuelle,150,7,375200,189963.09,5,1480,1598,Vert,5,KNA18E9391C0B16A6,00009-D-3,Bon
VH000010,CL000010,Citroën,C4,C4 GT Line,2012,Compacte,Essence,Automatique,110,6,265000,111438.65,5,1240,1199,Rouge,5,VF7D2CE1F2D82C2E6,31937|SK|9,Bon
VH000011,CL000011,Mercedes-Benz,Classe E,Classe E Iconic,2014,Berline,Hybride,Manuelle,197,11,812000,386447.3,5,1680,1991,Rouge,4,WDD2E97CCC394DA0A,73351|AD|4,Correct
VH000012,CL000012,Audi,A4,A4 GT Line,2019,Berline,Hybride,Manuelle,150,9,543200,303022.27,5,1520,1968,Blanc,4,WAUD9444C64A57898,00012-H-5,Usé
VH000013,CL000013,Hyundai,Creta,Creta Business,2024,SUV,Essence,Manuelle,120,6,265000,205216.0,5,1250,1497,Bleu,5,KMHA9ED660017B264,92867|GV|8,Excellent
VH000014,CL000014,Hyundai,Tucson,Tucson Intens,2012,SUV,Hybride,Automatique,150,7,386400,162490.16,5,1520,1598,Beige,5,KMH4BFD9B2531AB06,40597|SF|6,Correct
VH000015,CL000015,Renault,Megane IV,Megane IV Business,2021,Compacte,Hybride,Automatique,130,7,319200,210378.82,5,1320,1332,Vert,5,VF1B0EF43D7B55C02,00015-W-7,Bon
VH000016,CL000016,Audi,A3,A3 GT Line,2016,Compacte,Diesel,Manuelle,150,8,425000,228911.42,5,1380,1498,Argent,5,WAU418D9913C866CD,92116|ET|2,Excellent
VH000017,CL000017,Dacia,Logan,Logan Active,2018,Berline,Essence,Manuelle,90,5,135000,82291.81,5,1100,999,Blanc,4,UU1F747D9DF8D96AB,86673|PX|9,Bon
VH000018,CL000018,Renault,Duster,Duster Intens,2018,SUV,Hybride,Automatique,115,6,274400,167265.72,5,1280,1461,Rouge,5,VF10A55E15C372E9D,00018-E-5,Correct
VH000019,CL000019,Suzuki,Swift,Swift Iconic,2020,Citadine,Hybride,Manuelle,83,4,173600,105263.23,5,950,1197,Argent,5,JS23B7E3832386974,41325|SL|5,Bon
VH000020,CL000020,Toyota,Corolla,Corolla Business,2019,Berline,Essence,Automatique,122,6,295000,164564.75,5,1350,1798,Blanc,4,JTDF257F4B77C1317,93124|TT|6,Correct
VH000021,CL000021,Fiat,Tipo,Tipo Business,2024,Berline,Diesel,Automatique,95,5,195000,151008.0,5,1180,1368,Beige,4,ZFA62BA6866D54350,00021-E-6,Correct
VH000022,CL000022,Volkswagen,Golf,Golf Active,2016,Compacte,Hybride,Manuelle,110,6,352800,190023.41,5,1280,999,Gris,5,WVW8F1B9C707FDF73,32645|PD|7,Bon
VH000023,CL000023,Kia,Seltos,Seltos Intens,2017,SUV,Diesel,Manuelle,120,6,255000,146113.67,5,1280,1497,Bleu,5,KNA1F9F716D4DEC00,74022|YZ|8,Correct
VH000024,CL000024,Nissan,Qashqai,Qashqai Iconic,2013,SUV,Hybride,Automatique,140,7,364000,162840.89,5,1380,1332,Noir,5,JN15A43B1F3988B4A,00024-H-9,Excellent
VH000025,CL000025,Hyundai,Tucson,Tucson Active,2019,SUV,Essence,Manuelle,150,7,345000,192457.08,5,1520,1598,Rouge,5,KMH2D86C81A284BA4,43340|SL|6,Excellent
VH000026,CL000026,Hyundai,i10,i10 Business,2020,Citadine,Diesel,Automatique,67,4,145000,87921.48,5,920,998,Gris,5,KMH8D22054821AE86,40109|DV|3,Bon
VH000027,CL000027,BMW,Série 1,Série 1 Intens,2019,Compacte,Hybride,Automatique,140,8,476000,265534.98,5,1380,1995,Blanc,5,WBA572A67F70201BE,00027-E-2,Correct
VH000028,CL000028,BMW,X5,X5 Intens,2014,SUV,Essence,Manuelle,265,14,895000,425948.68,5,2150,2998,Beige,5,WBA908FAE4EE9D7AE,84150|MU|3,Bon
VH000029,CL000029,Toyota,Corolla,Corolla Iconic,2019,Berline,Hybride,Automatique,122,6,330400,184312.52,5,1350,1798,Blanc,4,JTD1EFDA19209D6DB,98143|LV|6,Correct
VH000030,CL000030,Audi,A4,A4 Active,2021,Berline,Hybride,Automatique,150,9,543200,358013.08,5,1520,1968,Gris,4,WAUAAE4FF94E658E3,00030-T-1,Excellent
VH000031,CL000031,Renault,Captur,Captur Business,2013,SUV,Diesel,Automatique,110,6,265000,118551.75,5,1220,999,Bleu,5,VF17BFE70133CCEA9,57828|AX|2,Correct
VH000032,CL000032,Toyota,Yaris,Yaris GT Line,2022,Citadine,Diesel,Manuelle,72,4,185000,132532.7,5,980,998,Noir,5,JTD1D0D62EA331DBE,76129|MH|6,Correct
VH000033,CL000033,Dacia,Logan,Logan Active,2019,Berline,Essence,Automatique,90,5,135000,75309.29,5,1100,999,Marron,4,UU1817E59FBFCDC1B,00033-C-4,Excellent
VH000034,CL000034,Audi,A3,A3 Business,2018,Compacte,Diesel,Manuelle,150,8,425000,259066.8,5,1380,1498,Marron,5,WAU42CC0FA92D0BBF,81632|CG|9,Bon
VH000035,CL000035,Citroën,C5 Aircross,C5 Aircross Intens,2014,SUV,Hybride,Manuelle,130,7,386400,183895.61,5,1480,1199,Rouge,5,VF714E92960C4BD12,78177|TB|3,Excellent
VH000036,CL000036,Mercedes-Benz,GLC,GLC Business,2015,SUV,Diesel,Automatique,197,10,685000,346814.27,5,1820,1991,Vert,5,WDD844B13FAC3E843,00036-T-7,Usé
VH000037,CL000037,Kia,Seltos,Seltos Active,2014,SUV,Essence,Manuelle,120,6,255000,121359.68,5,1280,1497,Noir,5,KNAB2314EABD35650,13087|TU|7,Correct
VH000038,CL000038,Kia,Seltos,Seltos Iconic,2020,SUV,Hybride,Automatique,120,6,285600,173174.99,5,1280,1497,Blanc,5,KNADD74E309686B1F,83879|FM|7,Usé
VH000039,CL000039,Mercedes-Benz,Classe A,Classe A Intens,2024,Compacte,Diesel,Manuelle,136,7,445000,344608.0,5,1360,1332,Blanc,5,WDD9CC828C0EE58DD,00039-C-1,Bon
VH000040,CL000040,Kia,Picanto,Picanto Intens,2021,Citadine,Diesel,Automatique,67,4,135000,88976.01,5,900,998,Gris,5,KNAEA267F6613DE67,53759|AX|1,Bon
VH000041,CL000041,Dacia,Sandero,Sandero Intens,2022,Citadine,Diesel,Manuelle,65,4,125000,89549.12,5,1050,999,Argent,5,UU16AB98C1F8F980A,29765|DX|9,Bon
VH000042,CL000042,Audi,A4,A4 Business,2013,Berline,Hybride,Automatique,150,9,543200,243008.72,5,1520,1968,Blanc,4,WAUB5DC5F38A24835,00042-E-3,Correct
VH000043,CL000043,Dacia,Spring,Spring Intens,2022,Citadine,Électrique,Manuelle,45,2,162750,116592.95,4,970,0,Blanc,5,UU1DBE69246095F14,83123|HN|1,Bon
VH000044,CL000044,BMW,Série 3,Série 3 Intens,2021,Berline,Diesel,Manuelle,184,10,525000,346017.8,5,1520,1998,Marron,4,WBA0E2D167455AF1C,17168|VD|4,Excellent
VH000045,CL000045,Hyundai,Tucson,Tucson GT Line,2023,SUV,Essence,Automatique,150,7,345000,235107.84,5,1520,1598,Blanc,5,KMH8AFEB37F6F711D,00045-D-1,Bon
VH000046,CL000046,Volkswagen,Golf,Golf GT Line,2022,Compacte,Diesel,Manuelle,110,6,315000,225663.78,5,1280,999,Blanc,5,WVWFA38068E68C28F,38936|HM|2,Correct
VH000047,CL000047,Kia,Sportage,Sportage Intens,2015,SUV,Essence,Manuelle,150,7,335000,169609.9,5,1480,1598,Rouge,5,KNA49EBBE2AA4D6B8,24746|UE|8,Correct
VH000048,CL000048,Mercedes-Benz,Classe E,Classe E Active,2024,Berline,Hybride,Manuelle,197,11,812000,628812.8,5,1680,1991,Vert,4,WDD0E4A6DE377B18D,00048-H-7,Bon
VH000049,CL000049,Dacia,Duster,Duster Business,2017,SUV,Hybride,Automatique,90,5,218400,125142.06,5,1230,1461,Noir,5,UU18484290F087920,44020|PE|4,Bon
VH000050,CL000050,Renault,Duster,Duster Iconic,2022,SUV,Hybride,Manuelle,115,6,274400,196578.23,5,1280,1461,Beige,5,VF117BA3A58CB1F96,24427|NS|2,Excellent
VH000051,CL000051,Dacia,Spring,Spring GT Line,2020,Citadine,Électrique,Automatique,45,2,162750,98684.28,4,970,0,Bleu,5,UU103CC949709FC79,00051-D-4,Correct
VH000052,CL000052,Audi,A4,A4 Active,2017,Berline,Hybride,Automatique,150,9,543200,311250.78,5,1520,1968,Gris,4,WAUAB51D55FCA731C,90797|GT|6,Bon
VH000053,CL000053,Toyota,Hilux,Hilux Intens,2019,Pick-up,Hybride,Manuelle,150,9,408800,228047.69,5,2050,2393,Argent,4,JTD9F3354DB4B5D0D,82524|JK|9,Excellent
VH000054,CL000054,Renault,Captur,Captur Active,2024,SUV,Hybride,Automatique,110,6,296800,229841.92,5,1220,999,Marron,5,VF18A26CEC8F695B0,00054-H-1,Bon
VH000055,CL000055,Renault,Duster,Duster GT Line,2013,SUV,Essence,Manuelle,115,6,245000,109604.45,5,1280,1461,Noir,5,VF150B8156DACA5DE,24573|SX|5,Correct
VH000056,CL000056,Renault,Clio V,Clio V Active,2018,Citadine,Diesel,Automatique,90,5,185000,112770.25,5,1150,999,Gris,5,VF17F2128F18794FB,58582|MD|9,Correct
VH000057,CL000057,Fiat,500,500 Iconic,2019,Citadine,Hybride,Manuelle,70,4,184800,103090.05,4,960,999,Marron,3,ZFA4ECDE8863792D6,00057-A-6,Correct
VH000058,CL000058,BMW,Série 3,Série 3 Business,2015,Berline,Diesel,Manuelle,184,10,525000,265806.56,5,1520,1998,Beige,4,WBAFB96DD5472A054,22416|SR|1,Correct
VH000059,CL000059,Suzuki,Swift,Swift Intens,2014,Citadine,Diesel,Automatique,83,4,155000,73767.65,5,950,1197,Argent,5,JS24A82F0B489CC98,52370|TW|5,Bon
VH000060,CL000060,Volkswagen,Passat,Passat GT Line,2021,Berline,Essence,Automatique,150,8,385000,253746.39,5,1480,1968,Argent,4,WVWBC0FC0050B0020,00060-W-5,Excellent
VH000061,CL000061,Mercedes-Benz,Classe A,Classe A Active,2023,Compacte,Diesel,Automatique,136,7,445000,303255.04,5,1360,1332,Bleu,5,WDD5083C158F1ADF4,49531|TH|7,Excellent
VH000062,CL000062,Renault,Clio V,Clio V Business,2013,Citadine,Diesel,Manuelle,90,5,185000,82762.54,5,1150,999,Rouge,5,VF149388A0D6B3F38,59789|NZ|1,Bon
VH000063,CL000063,Fiat,Tipo,Tipo GT Line,2022,Berline,Essence,Manuelle,95,5,195000,139696.63,5,1180,1368,Gris,4,ZFAB76032F0DCAE5F,00063-W-4,Bon
VH000064,CL000064,BMW,X3,X3 GT Line,2017,SUV,Diesel,Automatique,190,11,625000,358121.75,5,1780,1998,Rouge,5,WBA80EC0DAC2825FF,52034|KH|2,Bon
VH000065,CL000065,Dacia,Duster,Duster Business,2021,SUV,Essence,Manuelle,90,5,195000,128520.9,5,1230,1461,Blanc,5,UU16C7B1C22B0EA81,87932|YN|8,Bon
VH000066,CL000066,Suzuki,Vitara,Vitara GT Line,2014,SUV,Essence,Automatique,102,6,245000,116600.48,5,1180,1373,Marron,5,JS224597F84F24469,00066-H-9,Bon
VH000067,CL000067,BMW,X5,X5 GT Line,2016,SUV,Essence,Manuelle,265,14,895000,482060.53,5,2150,2998,Bleu,5,WBA6E8842E4D8026B,38111|XB|9,Bon
VH000068,CL000068,Dacia,Sandero,Sandero Active,2025,Citadine,Diesel,Automatique,65,4,125000,110000.0,5,1050,999,Rouge,5,UU14C3DAB17F49476,95831|MZ|9,Excellent
VH000069,CL000069,Mercedes-Benz,Classe A,Classe A Intens,2022,Compacte,Essence,Automatique,136,7,445000,318794.87,5,1360,1332,Beige,5,WDD06BB07F30E1B60,00069-C-6,Bon
VH000070,CL000070,Dacia,Logan,Logan Active,2022,Berline,Diesel,Automatique,90,5,135000,96713.05,5,1100,999,Blanc,4,UU15200237EF852AF,22637|VC|8,Correct
VH000071,CL000071,Dacia,Logan,Logan Iconic,2022,Berline,Hybride,Automatique,90,5,151200,108318.62,5,1100,999,Noir,4,UU1AD1257530B410C,83356|FY|5,Usé
VH000072,CL000072,Suzuki,Swift,Swift Iconic,2020,Citadine,Essence,Automatique,83,4,155000,93985.03,5,950,1197,Vert,5,JS2EF82A03F51569B,00072-C-9,Bon
VH000073,CL000073,Renault,Captur,Captur Active,2018,SUV,Diesel,Manuelle,110,6,265000,161535.77,5,1220,999,Beige,5,VF15E69AF6C4FF12C,57284|NR|7,Correct
VH000074,CL000074,Volkswagen,Passat,Passat Active,2012,Berline,Diesel,Manuelle,150,8,385000,161901.43,5,1480,1968,Rouge,4,WVW5AB0F113C07AA0,36149|YR|3,Bon
VH000075,CL000075,Citroën,C4,C4 GT Line,2025,Compacte,Hybride,Automatique,110,6,296800,261184.0,5,1240,1199,Argent,5,VF7575BADEA9F8947,00075-E-6,Bon
VH000076,CL000076,BMW,X3,X3 Business,2016,SUV,Essence,Manuelle,190,11,625000,336634.45,5,1780,1998,Noir,5,WBA3730F8B020A656,78098|YC|2,Bon
VH000077,CL000077,Renault,Captur,Captur Intens,2021,SUV,Hybride,Manuelle,110,6,296800,195615.4,5,1220,999,Gris,5,VF12695E1E5657A5E,84607|PC|1,Bon
VH000078,CL000078,Ford,Fiesta,Fiesta Iconic,2022,Citadine,Essence,Automatique,85,5,195000,139696.63,5,1080,998,Marron,5,WF09132364A8FFED3,00078-D-3,Correct
VH000079,CL000079,Volkswagen,Passat,Passat Intens,2024,Berline,Essence,Manuelle,150,8,385000,298144.0,5,1480,1968,Vert,4,WVW772D639771F7FF,20804|YX|2,Usé
VH000080,CL000080,Renault,Megane IV,Megane IV Active,2012,Compacte,Diesel,Manuelle,130,7,285000,119849.11,5,1320,1332,Rouge,5,VF18FEBEFF56E3228,99018|JB|4,Bon
VH000081,CL000081,Toyota,RAV4,RAV4 Iconic,2024,SUV,Diesel,Automatique,177,8,425000,329120.0,5,1580,2487,Rouge,5,JTD01876C5BB47240,00081-A-7,Correct
VH000082,CL000082,Nissan,Micra,Micra GT Line,2024,Citadine,Essence,Automatique,71,4,165000,127776.0,5,980,999,Rouge,5,JN186C2258938BC6E,21133|VJ|5,Usé
VH000083,CL000083,Dacia,Sandero,Sandero GT Line,2020,Citadine,Hybride,Automatique,65,4,140000,84889.7,5,1050,999,Marron,5,UU1405718EA46C470,21834|XE|4,Excellent
VH000084,CL000084,Dacia,Sandero,Sandero GT Line,2013,Citadine,Diesel,Manuelle,65,4,125000,55920.64,5,1050,999,Argent,5,UU15B2C74B11DE2BC,00084-A-6,Correct
VH000085,CL000085,Audi,A3,A3 GT Line,2012,Compacte,Hybride,Manuelle,150,8,476000,200169.04,5,1380,1498,Argent,5,WAU8875B73E744773,46539|TY|7,Bon
VH000086,CL000086,Dacia,Logan,Logan Business,2018,Berline,Essence,Manuelle,90,5,135000,82291.81,5,1100,999,Bleu,4,UU1FB0C92EE2BA86D,32698|BY|2,Correct
VH000087,CL000087,Ford,Focus,Focus Iconic,2023,Compacte,Diesel,Automatique,125,6,275000,187404.8,5,1320,1499,Beige,5,WF08183A435F3302D,00087-H-4,Correct
VH000088,CL000088,Renault,Captur,Captur Iconic,2019,SUV,Diesel,Automatique,110,6,265000,147829.35,5,1220,999,Rouge,5,VF1D82AD3C8AAF9A2,14337|HU|1,Usé
VH000089,CL000089,Citroën,C4,C4 Business,2025,Compacte,Essence,Automatique,110,6,265000,233200.0,5,1240,1199,Marron,5,VF7076EB8C3C42D1D,20616|SJ|9,Correct
