VehicleID,ClientID,Marque,Modele,Version,Annee,Categorie,Carburant,Transmission,PuissanceDIN,PuissanceCV,ValeurNeuve,ValeurActuelle,NombrePlaces,Poids,Cylindree,Couleur,NombrePortes,VIN,Immatriculation,Etat
VH000090,CL000090,Renault,Clio V,Clio V GT Line,2024,Citadine,Essence,Manuelle,90,5,185000,143264.0,5,1150,999,Blanc,5,VF10C039FF4F437F7,00090-E-2,Correct
VH000091,CL000091,Audi,A4,A4 Business,2025,Berline,Essence,Automatique,150,9,485000,426800.0,5,1520,1968,Blanc,4,WAU2051D6297D4ABE,17405|SH|2,Excellent
VH000092,CL000092,Renault,Duster,Duster Iconic,2020,SUV,Diesel,Manuelle,115,6,245000,148556.98,5,1280,1461,Blanc,5,VF13153E2CCFB2E9A,73655|SU|3,Bon
VH000093,CL000093,Volkswagen,Tiguan,Tiguan Intens,2012,SUV,Hybride,Automatique,150,8,476000,200169.04,5,1580,1968,Blanc,5,WVW2218AD1A80700F,00093-D-6,Bon
VH000094,CL000094,Audi,A4,A4 Business,2021,Berline,Diesel,Manuelle,150,9,485000,319654.54,5,1520,1968,Noir,4,WAUCDE3C1F93A9829,18595|PS|9,Correct
VH000095,CL000095,Toyota,Hilux,Hilux Intens,2020,Pick-up,Diesel,Manuelle,150,9,365000,221319.58,5,2050,2393,Beige,4,JTDCFA99C5C788D3D,18991|UH|3,Usé
VH000096,CL000096,Fiat,500,500 GT Line,2025,Citadine,Essence,Automatique,70,4,165000,145200.0,4,960,999,Vert,3,ZFA3347E6B9FAD692,00096-W-7,Correct
VH000097,CL000097,Hyundai,Tucson,Tucson Intens,2015,SUV,Hybride,Automatique,150,7,386400,195633.63,5,1520,1598,Marron,5,KMH7E8924D0EC33E2,84089|JF|1,Bon
VH000098,CL000098,Suzuki,Swift,Swift Business,2013,Citadine,Diesel,Automatique,83,4,155000,69341.59,5,950,1197,Blanc,5,JS22BFCC595DCAD95,97807|BU|5,Correct
VH000099,CL000099,Fiat,500,500 Active,2019,Citadine,Diesel,Manuelle,70,4,165000,92044.69,4,960,999,Beige,3,ZFA02DAF9BB8120AD,00099-H-3,Excellent
VH000100,CL000100,Dacia,Logan,Logan Intens,2020,Berline,Diesel,Automatique,90,5,135000,81857.93,5,1100,999,Marron,4,UU1190D470F49BB37,21945|ZH|7,Bon
VH000101,CL000101,Peugeot,2008,2008 GT Line,2020,SUV,Essence,Manuelle,110,6,275000,166744.15,5,1200,1199,Noir,5,VF312A5C1C0EB4980,000101-PE-1,Excellent
VH000102,CL000102,Seat,Leon,Leon FR,2022,Compacte,Hybride,Automatique,130,6,325000,232831.66,5,1290,1395,Bleu,5,VSS315AD8B63D2A1C,102|SE|2,Bon
VH000103,CL000103,Mazda,CX-5,CX-5 Exclusive,2021,SUV,Diesel,Manuelle,150,7,385000,253746.39,5,1580,2191,Argent,5,JMZKF3D610D7E92B4,103|MA|3,Correct
VH000104,CL000104,Honda,CR-V,CR-V Elegance,2023,SUV,Hybride,Automatique,184,10,495000,337337.78,5,1620,1993,Rouge,5,JHMRE3940F2F3D4C6,104|HO|4,Bon
VH000105,CL000105,Opel,Corsa,Corsa Edition,2020,Citadine,Diesel,Manuelle,100,5,195000,118239.23,5,1060,999,Gris,5,W0LBF5E67F07712F9,105|OP|5,Excellent
VH000106,CL000106,Mini,Cooper,Cooper Sport,2021,Citadine,Essence,Automatique,136,7,325000,214212.88,4,1180,1498,Marron,3,WMW3314E82E9E5C15,106|MI|6,Correct
VH000107,CL000107,Jaguar,F-Pace,F-Pace S,2024,SUV,Diesel,Automatique,204,12,825000,638880.0,5,1850,1999,Blanc,5,SADFA60D7B9F8C1D2,107|JA|7,Excellent
VH000108,CL000108,Land Rover,Evoque,Evoque Dynamic,2022,SUV,Hybride,Manuelle,180,10,635000,454987.64,5,1770,1999,Vert,5,SALVR2AN7G799305F,108|LR|8,Bon
VH000109,CL000109,Alfa Romeo,Giulia,Giulia Veloce,2023,Berline,Diesel,Automatique,210,11,625000,425937.5,5,1520,2143,Noir,4,ZAREA4DN7F8A4B7C9,109|AR|9,Correct
VH000110,CL000110,Porsche,Cayenne,Cayenne S,2022,SUV,Essence,Automatique,340,23,1125000,805866.48,5,2160,2996,Argent,5,WP1ZZZ92Z99A387C2,110|PO|1,Excellent
VH000111,CL000111,Volvo,XC60,XC60 R-Design,2021,SUV,Diesel,Manuelle,235,13,695000,458056.29,5,1850,1969,Bleu,5,YV1UZ10FBL3A37441,111|VO|2,Bon
VH000112,CL000112,Skoda,Octavia,Octavia Style,2022,Berline,Hybride,Automatique,150,8,365000,261463.02,5,1360,1498,Rouge,5,TMBKN9NE4F018390C,112|SK|3,Correct
VH000113,CL000113,Lexus,NX,NX F Sport,2023,SUV,Hybride,Automatique,185,10,695000,473596.59,5,1730,2487,Marron,5,JTJGAMBH2F6239C17,113|LE|4,Usé
VH000114,CL000114,Jeep,Compass,Compass Trailhawk,2021,SUV,Diesel,Manuelle,170,9,535000,352655.08,5,1680,1956,Gris,5,3C4NJDBB3FT240863,114|JE|5,Bon
VH000115,CL000115,Mitsubishi,Outlander,Outlander PHEV,2022,SUV,Hybride,Automatique,200,11,625000,447746.13,5,1720,2360,Vert,5,JF2Y3FHA9F3A3F2D9,115|MI|6,Excellent
VH000116,CL000116,Subaru,Forester,Forester Premium,2020,SUV,Essence,Manuelle,150,8,395000,239484.96,5,1550,1995,Blanc,5,JF2SJ1WC0H8349355,116|SU|7,Correct
VH000117,CL000117,Infiniti,QX50,QX50 Sensory,2023,SUV,Hybride,Automatique,268,14,795000,541764.88,5,1850,1997,Noir,5,JN1BJ1GV5F083742D,117|IN|8,Bon
VH000118,CL000118,DS,DS 7,DS 7 Crossback,2022,SUV,Diesel,Manuelle,180,10,585000,419078.24,5,1620,1999,Rouge,5,VF7C3YH4F3611854F,118|DS|9,Excellent
VH000119,CL000119,Smart,Fortwo,Fortwo EQ,2021,Citadine,Électrique,Automatique,60,3,175000,115334.35,2,970,0,Argent,3,WME4530001H662239,119|SM|1,Correct
VH000120,CL000120,Abarth,500,500 Esseesse,2022,Citadine,Essence,Manuelle,140,8,295000,211315.4,4,1020,1368,Beige,3,ZFA312000C615879A,120|AB|2,Bon
VH000121,CL000121,MG,ZS,ZS Exclusive,2023,SUV,Hybride,Manuelle,105,6,255000,173761.5,5,1340,1498,Marron,5,LSJAW95Y6FG231784,121|MG|3,Excellent
VH000122,CL000122,SsangYong,Tivoli,Tivoli Urban,2022,SUV,Diesel,Automatique,115,6,235000,168344.13,5,1280,1597,Rouge,5,KPTE0B19DF8F17A38,122|SS|4,Bon
VH000123,CL000123,Alpine,A110,A110 Pure,2023,Coupé,Essence,Automatique,252,14,725000,494062.25,2,1080,1798,Vert,2,VFRLD8A4B7A2D5C6F,123|AL|5,Correct
VH000124,CL000124,Cupra,Formentor,Formentor VZ,2022,SUV,Essence,Manuelle,245,13,575000,411920.5,5,1540,1984,Bleu,5,VSSZZZ5PZ3F2741D9,124|CU|6,Excellent
VH000125,CL000125,Polestar,Polestar 2,Polestar 2 LR,2023,Berline,Électrique,Automatique,408,28,735000,500876.15,5,1950,0,Blanc,4,YSMED3BB4GJ1019E9,125|PO|7,Bon
VH000126,CL000126,Genesis,G70,G70 Sport,2022,Berline,Diesel,Automatique,200,11,625000,447746.13,5,1540,2199,Gris,4,KMTG341DNF63867C5,126|GE|8,Correct
VH000127,CL000127,DS,DS 4,DS 4 Crossback,2023,Compacte,Hybride,Manuelle,130,7,365000,248745.04,5,1360,1598,Rouge,5,VF7C0B35F8D247A31,127|DS|9,Bon
VH000128,CL000128,Seat,Arona,Arona FR,2020,SUV,Diesel,Automatique,95,5,235000,142494.65,5,1230,1395,Noir,5,VSSZZZKZFA138458D,128|SE|1,Excellent
VH000129,CL000129,Renault,Arkana,Arkana Intens,2023,SUV,Hybride,Manuelle,140,7,315000,214668.18,5,1350,1598,Argent,5,VF1S9E7B3G7347489,129|RE|2,Bon
VH000130,CL000130,Mazda,MX-5,MX-5 RF,2022,Cabriolet,Essence,Automatique,181,10,385000,275757.79,2,1060,1998,Marron,2,JMZND6E8D4G2A3B51,130|MA|3,Correct
VH000131,CL000131,Lancia,Ypsilon,Ypsilon Eleganza,2019,Citadine,Diesel,Manuelle,80,4,195000,108778.79,5,1050,1248,Blanc,3,ZLA218FJE7J3C1D45,131|LA|4,Bon
VH000132,CL000132,Maserati,Ghibli,Ghibli Diesel,2021,Berline,Diesel,Automatique,275,15,895000,589819.56,5,1800,2987,Vert,4,ZAMSS57D3F3226718,132|MA|5,Excellent
VH000133,CL000133,Proton,Saga,Saga Executive,2020,Berline,Essence,Manuelle,95,5,145000,87921.48,5,1100,1332,Rouge,4,PL1C24B7C8D25FC6F,133|PR|6,Correct
VH000134,CL000134,Perodua,Myvi,Myvi Premium,2022,Citadine,Hybride,Automatique,83,4,125000,89549.12,5,980,998,Gris,5,PMV4C3A1C32D7F8E9,134|PE|7,Bon
VH000135,CL000135,Great Wall,Wingle,Wingle 4x4,2021,Pick-up,Diesel,Manuelle,120,6,285000,187839.5,5,1850,2370,Beige,4,LGWDB4176F8E3C59A,135|GW|8,Excellent
VH000136,CL000136,BAIC,X55,X55 Premium,2023,SUV,Essence,Manuelle,150,7,275000,187404.8,5,1400,1497,Marron,5,LNBMC8A4G2F8C1A73,136|BA|9,Bon
VH000137,CL000137,Honda,Jazz,Jazz Elegance,2020,Citadine,Hybride,Automatique,98,5,215000,130330.47,5,1110,1498,Argent,5,JHMFE2F75F3C16C95,137|HO|1,Correct
VH000138,CL000138,Volkswagen,ID.3,ID.3 Pro,2022,Compacte,Électrique,Automatique,204,15,445000,318794.87,5,1780,0,Blanc,5,WVWZZZ1KZ5R8A2B7C,138|VO|2,Excellent
VH000139,CL000139,Aston Martin,DB11,DB11 V8,2020,Coupé,Essence,Automatique,510,35,2150000,1303391.8,4,1740,3998,Noir,2,SCFDMGDG8HGN45678,139|AS|3,Bon
VH000140,CL000140,Bentley,Bentayga,Bentayga V8,2022,SUV,Essence,Automatique,550,38,1950000,1396731.32,5,2440,3996,Gris,5,SJAAG12Z4G4C3D45E,140|BE|4,Correct
VH000141,CL000141,Lamborghini,Urus,Urus S,2023,SUV,Essence,Automatique,666,47,2450000,1669317.56,5,2190,3996,Rouge,5,ZPBUA1ZL1F8B1C2D3,141|LA|5,Excellent
VH000142,CL000142,Ferrari,Purosangue,Purosangue,2024,SUV,Essence,Automatique,725,50,2850000,2206800.0,4,2033,6496,Marron,5,ZFF01MLB3G2B3C4D5,142|FE|6,Bon
VH000143,CL000143,McLaren,Artura,Artura,2023,Coupé,Hybride,Automatique,680,47,2250000,1533281.04,2,1495,2999,Vert,2,SBM14ECA2H1A2B3C4,143|MC|7,Correct
VH000144,CL000144,Rolls-Royce,Cullinan,Cullinan,2022,SUV,Essence,Automatique,571,39,2850000,2041338.05,5,2660,6749,Blanc,5,SCA68UL23C2B3C4D5,144|RO|8,Excellent
VH000145,CL000145,Aston Martin,DBX,DBX,2023,SUV,Essence,Automatique,550,38,1950000,1328845.62,5,2245,3998,Argent,5,SCFRE9DE6G2B3C4D5,145|AS|9,Bon
VH000146,CL000146,Koenigsegg,Gemera,Gemera,2024,Coupé,Hybride,Automatique,2300,170,11250000,8712000.0,4,1850,1999,Noir,2,YT9GDF8B3C4D5E6F7,146|KO|1,Excellent
VH000147,CL000147,Rimac,Nevera,Nevera,2023,Coupé,Électrique,Automatique,1914,138,18750000,12776667.96,2,1980,0,Marron,2,GL9C4D5E6F7G8H9I0,147|RI|2,Bon
VH000148,CL000148,Bugatti,Chiron,Chiron Super Sport,2022,Coupé,Essence,Automatique,1600,110,32500000,23282886.83,2,1995,7993,Gris,2,VF9SJ2D4E5F6G7H8I9,148|BU|3,Correct
VH000149,CL000149,Hennessey,F5,F5 Venom,2023,Coupé,Essence,Automatique,1842,126,22500000,15331237.9,2,1360,6388,Vert,2,2D4E5F6G7H8I9J0K1,149|HE|4,Excellent
VH000150,CL000150,SSC,Tuatara,Tuatara,2024,Coupé,Essence,Automatique,1750,120,19500000,15100800.0,2,1247,5898,Bleu,2,3E5F6G7H8I9J0K1L2,150|SS|5,Bon
VH000151,CL000151,Lotus,Evija,Evija,2023,Coupé,Électrique,Automatique,2000,136,22500000,15331237.9,2,1680,0,Rouge,2,4F6G7H8I9J0K1L2M3,151|LO|6,Correct
VH000152,CL000152,Dodge,Challenger,Challenger SRT Demon,2022,Coupé,Essence,Manuelle,840,58,1250000,895491.23,4,1938,6166,Blanc,2,2C3CDZBH5F6G7H8I9,152|DO|7,Excellent
VH000153,CL000153,Chevrolet,Camaro,Camaro ZL1,2023,Coupé,Essence,Automatique,650,45,895000,609810.84,4,1730,6162,Noir,2,1G1FK1R65F6G7H8I9,153|CH|8,Bon
VH000154,CL000154,Ford,Mustang,Mustang Dark Horse,2024,Coupé,Essence,Manuelle,500,34,745000,577264.0,4,1750,5038,Argent,2,1FA6P8CF8F6G7H8I9,154|FO|9,Correct
VH000155,CL000155,Nissan,GT-R,GT-R Nismo,2023,Coupé,Essence,Automatique,600,41,1150000,783602.05,4,1740,3799,Gris,2,JN1G7B6F8F6G7H8I9,155|NI|1,Excellent
VH000156,CL000156,Lexus,LC,LC 500,2022,Coupé,Essence,Automatique,477,32,975000,698371.66,4,1930,4969,Marron,2,JTHZ8D7F6G7H8I9J0,156|LE|2,Bon
VH000157,CL000157,Acura,NSX,NSX Type S,2023,Coupé,Hybride,Automatique,600,41,1125000,766562.34,2,1770,3493,Vert,2,19UNC1B8F6G7H8I9,157|AC|3,Correct
VH000158,CL000158,Audi,R8,R8 V10 Performance,2022,Coupé,Essence,Automatique,620,42,1150000,823730.0,2,1590,5204,Rouge,2,WUAHJAF8F6G7H8I9,158|AU|4,Excellent
VH000159,CL000159,BMW,M8,M8 Competition,2023,Coupé,Essence,Automatique,625,43,1150000,783602.05,4,1900,4395,Blanc,2,WBSFV0C8F6G7H8I9,159|BM|5,Bon
VH000160,CL000160,Porsche,911,911 Turbo S,2022,Coupé,Essence,Automatique,650,45,1250000,895491.23,4,1640,3745,Noir,2,WP0AB2A8F6G7H8I9,160|PO|6,Correct
VH000161,CL000161,Mercedes-AMG,GT,GT 63 S,2023,Coupé,Essence,Automatique,639,44,1125000,766562.34,4,1810,3982,Gris,2,WDD7Y8F6G7H8I9J0,161|ME|7,Excellent
VH000162,CL000162,Aston Martin,Vantage,Vantage F1 Edition,2022,Coupé,Essence,Automatique,535,37,995000,712598.5,2,1530,3998,Marron,2,SCFRC8F6G7H8I9J0,162|AS|8,Bon
VH000163,CL000163,Jaguar,F-Type,F-Type R,2023,Coupé,Essence,Automatique,575,40,925000,630443.99,2,1570,5000,Vert,2,SAJ6A8F6G7H8I9J0,163|JA|9,Correct
VH000164,CL000164,Maserati,MC20,MC20,2022,Coupé,Essence,Automatique,621,42,1125000,805866.48,2,1500,2999,Rouge,2,ZAMZ8F6G7H8I9J0K,164|MA|1,Excellent
VH000165,CL000165,McLaren,720S,720S Spider,2023,Cabriolet,Essence,Automatique,720,49,1450000,988233.16,2,1339,3994,Blanc,2,SBM5A8F6G7H8I9J0,165|MC|2,Bon
VH000166,CL000166,Lamborghini,Huracan,Huracan STO,2022,Coupé,Essence,Automatique,640,44,1250000,895491.23,2,1339,5204,Noir,2,ZHWU8F6G7H8I9J0K,166|LA|3,Correct
VH000167,CL000167,Ferrari,SF90,SF90 Stradale,2023,Coupé,Hybride,Automatique,1000,68,1750000,1192649.77,2,1570,3990,Gris,2,ZFF8F6G7H8I9J0K1,167|FE|4,Excellent
VH000168,CL000168,Pagani,Huayra,Huayra R,2022,Coupé,Essence,Manuelle,838,57,2250000,1611524.21,2,1350,5980,Marron,2,ZC6D8F6G7H8I9J0K,168|PA|5,Bon
VH000169,CL000169,Koenigsegg,Jesko,Jesko,2023,Coupé,Essence,Automatique,1600,110,27500000,18737241.53,2,1420,5063,Vert,2,YT9C8F6G7H8I9J0K,169|KO|6,Correct
VH000170,CL000170,Bugatti,Veyron,Veyron Grand Sport,2022,Cabriolet,Essence,Automatique,1200,82,16500000,11819614.27,2,1888,7993,Rouge,2,VF9C8F6G7H8I9J0K,170|BU|7,Excellent
VH000171,CL000171,Hennessey,Venom GT,Venom GT,2023,Coupé,Essence,Manuelle,1244,86,13500000,9200017.98,2,1115,7194,Blanc,2,2D4C8F6G7H8I9J0K,171|HE|8,Bon
VH000172,CL000172,SSC,Tuatara,Tuatara Striker,2024,Coupé,Essence,Automatique,1750,120,19500000,15100800.0,2,1247,5898,Noir,2,3E5C8F6G7H8I9J0K,172|SS|9,Correct
VH000173,CL000173,Lotus,Evora,Evora GT,2022,Coupé,Essence,Manuelle,430,29,795000,569444.76,2,1329,3456,Gris,2,4F6C8F6G7H8I9J0K,173|LO|1,Excellent
VH000174,CL000174,Dodge,Viper,Viper ACR,2023,Coupé,Essence,Manuelle,645,44,925000,630443.99,2,1540,8400,Marron,2,2C3C8F6G7H8I9J0K,174|DO|2,Bon
VH000175,CL000175,Chevrolet,Corvette,Corvette Z06,2022,Coupé,Essence,Automatique,670,46,875000,626843.96,2,1580,6162,Vert,2,1G1C8F6G7H8I9J0K,175|CH|3,Correct
VH000176,CL000176,Ford,GT,GT,2023,Coupé,Essence,Automatique,647,44,1025000,698546.33,2,1385,3497,Rouge,2,1FA6C8F6G7H8I9J0K,176|FO|4,Excellent
VH000177,CL000177,Nissan,Z,Z Performance,2024,Coupé,Essence,Manuelle,400,27,595000,460768.0,2,1540,2999,Blanc,2,JN1C8F6G7H8I9J0K,177|NI|5,Bon
VH000178,CL000178,Audi,R8,R8 Spyder,2023,Cabriolet,Essence,Automatique,570,39,985000,671398.29,2,1680,5204,Noir,2,WUAC8F6G7H8I9J0K,178|AU|6,Correct
VH000179,CL000179,BMW,M4,M4 CSL,2022,Coupé,Essence,Automatique,550,38,895000,641170.26,2,1620,2993,Gris,2,WBSA8F6G7H8I9J0K,179|BM|7,Excellent
VH000180,CL000180,Porsche,718,718 Cayman GT4 RS,2023,Coupé,Essence,Automatique,500,34,925000,630443.99,2,1415,3996,Marron,2,WP0A8F6G7H8I9J0K,180|PO|8,Bon